"",BBK01.OEAE33N,BBK01.OEAE33N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:46,
2002-01,13.849,
2002-04,13.873,
2002-07,13.915,
2002-10,13.970,
2003-01,13.551,
2003-04,13.614,
2003-07,13.617,
2003-10,13.263,
2004-01,13.083,
2004-04,12.897,
2004-07,12.839,
2004-10,12.673,
2005-01,12.736,
2005-04,12.691,
2005-07,12.560,
2005-10,12.578,
2006-01,13.227,
2006-04,13.262,
2006-07,13.412,
2006-10,13.276,
2007-01,13.374,
2007-04,13.334,
2007-07,13.382,
2007-10,13.301,
2008-01,13.289,
2008-04,13.320,
2008-07,13.328,
2008-10,13.562,
2009-01,14.401,
2009-04,14.559,
2009-07,14.636,
2009-10,13.679,
2010-01,14.927,
2010-04,14.371,
2010-07,14.582,
2010-10,14.575,
2011-01,14.828,
2011-04,14.842,
2011-07,15.075,
2011-10,15.049,
2012-01,15.015,
2012-04,14.852,
2012-07,14.890,
2012-10,14.641,
2013-01,14.625,
2013-04,14.736,
2013-07,14.873,
2013-10,14.778,
2014-01,14.623,
2014-04,14.820,
2014-07,14.878,
