"",BBK01.OEAI06T,BBK01.OEAI06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:41,
2002-01,2.082,
2002-04,2.121,
2002-07,2.134,
2002-10,2.140,
2003-01,2.144,
2003-04,2.108,
2003-07,2.065,
2003-10,2.069,
2004-01,2.071,
2004-04,2.090,
2004-07,2.050,
2004-10,2.038,
2005-01,1.998,
2005-04,2.007,
2005-07,1.944,
2005-10,1.961,
2006-01,1.958,
2006-04,1.961,
2006-07,1.975,
2006-10,1.982,
2007-01,1.978,
2007-04,1.998,
2007-07,2.010,
2007-10,2.120,
2008-01,2.144,
2008-04,2.174,
2008-07,2.212,
2008-10,2.190,
2009-01,2.131,
2009-04,2.011,
2009-07,1.906,
2009-10,1.791,
2010-01,1.763,
2010-04,1.724,
2010-07,1.701,
2010-10,1.690,
2011-01,1.724,
2011-04,1.768,
2011-07,1.771,
2011-10,1.825,
2012-01,1.792,
2012-04,1.772,
2012-07,1.694,
2012-10,1.570,
2013-01,1.405,
2013-04,1.327,
2013-07,1.280,
2013-10,1.261,
2014-01,1.211,
2014-04,1.163,
2014-07,1.150,
