"",BBK01.OEAJ01M,BBK01.OEAJ01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:00,
2002-01,37.375,
2002-04,38.237,
2002-07,38.560,
2002-10,40.956,
2003-01,40.459,
2003-04,41.301,
2003-07,42.812,
2003-10,40.457,
2004-01,39.886,
2004-04,42.318,
2004-07,45.812,
2004-10,47.711,
2005-01,46.986,
2005-04,47.844,
2005-07,49.045,
2005-10,50.330,
2006-01,49.140,
2006-04,50.341,
2006-07,51.728,
2006-10,52.192,
2007-01,53.582,
2007-04,53.138,
2007-07,54.919,
2007-10,57.839,
2008-01,58.230,
2008-04,58.651,
2008-07,60.202,
2008-10,67.888,
2009-01,69.194,
2009-04,69.422,
2009-07,73.615,
2009-10,70.939,
2010-01,70.226,
2010-04,72.073,
2010-07,71.921,
2010-10,70.738,
2011-01,72.310,
2011-04,71.654,
2011-07,73.042,
2011-10,76.219,
2012-01,76.087,
2012-04,78.705,
2012-07,77.733,
2012-10,81.147,
2013-01,77.111,
2013-04,78.462,
2013-07,73.577,
2013-10,73.191,
2014-01,73.023,
2014-04,74.855,
2014-07,74.783,
