"",BBK01.OEBB15I,BBK01.OEBB15I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:53,
2002-01,0.350,
2002-04,0.348,
2002-07,0.347,
2002-10,0.341,
2003-01,0.372,
2003-04,0.298,
2003-07,0.267,
2003-10,0.255,
2004-01,0.243,
2004-04,0.249,
2004-07,0.244,
2004-10,0.229,
2005-01,0.239,
2005-04,0.261,
2005-07,0.269,
2005-10,0.273,
2006-01,0.276,
2006-04,0.291,
2006-07,0.287,
2006-10,0.316,
2007-01,0.316,
2007-04,0.315,
2007-07,0.317,
2007-10,0.309,
2008-01,0.318,
2008-04,0.325,
2008-07,0.341,
2008-10,0.333,
2009-01,0.329,
2009-04,0.336,
2009-07,0.368,
2009-10,0.373,
2010-01,0.365,
2010-04,0.369,
2010-07,0.352,
2010-10,0.372,
2011-01,0.371,
2011-04,0.370,
2011-07,0.362,
2011-10,0.350,
2012-01,0.340,
2012-04,0.336,
2012-07,0.326,
2012-10,0.322,
2013-01,0.325,
2013-04,0.329,
2013-07,0.335,
2013-10,0.344,
2014-01,0.338,
2014-04,0.301,
2014-07,0.312,
