"",BBSF2.M.1.S.00000.TOT01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.S.00000.TOT01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Special investors funds / Funds total / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:57,
2009-09,43075,
2009-10,40994,
2009-11,39742,
2009-12,35999,
2010-01,37424,
2010-02,37581,
2010-03,33696,
2010-04,32764,
2010-05,34915,
2010-06,33769,
2010-07,35029,
2010-08,33086,
2010-09,33387,
2010-10,31750,
2010-11,34022,
2010-12,31209,
2011-01,34973,
2011-02,35697,
2011-03,34215,
2011-04,35046,
2011-05,34454,
2011-06,34147,
2011-07,36460,
2011-08,41440,
2011-09,43692,
2011-10,43431,
2011-11,44745,
2011-12,41203,
2012-01,42920,
2012-02,40729,
2012-03,39141,
2012-04,39562,
2012-05,39639,
2012-06,42164,
2012-07,42276,
2012-08,41626,
2012-09,43198,
2012-10,42859,
2012-11,41842,
2012-12,39891,
2013-01,40554,
2013-02,40120,
2013-03,41577,
2013-04,40943,
2013-05,39064,
2013-06,42517,
2013-07,41101,
2013-08,39529,
2013-09,40084,
2013-10,41507,
2013-11,38893,
2013-12,40019,
2014-01,40595,
2014-02,40434,
2014-03,39810,
2014-04,41369,
2014-05,40967,
2014-06,39356,
2014-07,39723,
2014-08,40046,
2014-09,40707,
2014-10,40394,
2014-11,39894,
