"",BBK01.OXA8K3,BBK01.OXA8K3_FLAGS
"","Stocks of loans to domestic employees and other individuals (including bills of exchange), traditionally securitised by servicing banks (MFIs) in Germany also being the originator with removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:38,
2009-12,4.165,
2010-01,3.960,
2010-02,-,Nothing exists
2010-03,3.564,
2010-04,-,Nothing exists
2010-05,3.600,
2010-06,3.415,
2010-07,3.221,
2010-08,3.041,
2010-09,2.855,
2010-10,2.707,
2010-11,2.522,
2010-12,2.286,
2011-01,2.142,
2011-02,2.588,
2011-03,2.448,
2011-04,2.323,
2011-05,2.173,
2011-06,2.958,
2011-07,3.344,
2011-08,3.219,
2011-09,3.056,
2011-10,2.948,
2011-11,2.854,
2011-12,2.767,
2012-01,2.660,
2012-02,2.555,
2012-03,2.436,
2012-04,2.368,
2012-05,2.305,
2012-06,2.195,
2012-07,2.096,
2012-08,2.049,
2012-09,1.995,
2012-10,1.931,
2012-11,1.859,
2012-12,1.864,
2013-01,1.727,
2013-02,2.318,
2013-03,2.218,
2013-04,2.106,
2013-05,1.989,
2013-06,1.887,
2013-07,2.262,
2013-08,2.163,
2013-09,2.049,
2013-10,1.967,
2013-11,1.883,
2013-12,1.836,
2014-01,1.765,
2014-02,1.699,
2014-03,1.627,
2014-04,1.561,
2014-05,2.440,
2014-06,2.329,
2014-07,2.224,
2014-08,2.176,
2014-09,2.099,
2014-10,1.987,
2014-11,2.485,
2014-12,2.428,Provisional value
