"",BBFB1.Q.N.DE.BR.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.BR.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Brazil,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:33,
1991-01,-4.317,
1991-04,-2.617,
1991-07,-4.586,
1991-10,3.075,
1992-01,-10.852,
1992-04,20.996,
1992-07,15.081,
1992-10,20.280,
1993-01,10.579,
1993-04,-18.409,
1993-07,-17.958,
1993-10,31.346,
1994-01,138.449,
1994-04,376.361,
1994-07,82.352,
1994-10,141.748,
1995-01,30.606,
1995-04,-10.106,
1995-07,355.462,
1995-10,28.622,
1996-01,201.746,
1996-04,258.722,
1996-07,-276.522,
1996-10,121.695,
1997-01,45.501,
1997-04,-87.712,
1997-07,75.709,
1997-10,278.985,
1998-01,112.923,
1998-04,475.120,
1998-07,27.551,
1998-10,-35.049,
1999-01,-47.454,
1999-04,129.006,
1999-07,364.269,
1999-10,353.766,
2000-01,144.104,
2000-04,35.330,
2000-07,662.892,
2000-10,43.959,
2001-01,-48.872,
2001-04,174.942,
2001-07,-429.139,
2001-10,34.464,
2002-01,40.879,
2002-04,196.925,
2002-07,27.065,
2002-10,101.291,
2003-01,32.520,
2003-04,-201.359,
2003-07,-94.379,
2003-10,3.295,
2004-01,-442.593,
2004-04,161.718,
2004-07,-553.042,
2004-10,580.509,
2005-01,-109.678,
2005-04,98.670,
2005-07,-180.340,
2005-10,610.358,
2006-01,-3.200,
2006-04,130.351,
2006-07,11.278,
2006-10,94.292,
2007-01,-487.965,
2007-04,-51.625,
2007-07,156.219,
2007-10,45.688,
2008-01,182.623,
2008-04,43.994,
2008-07,354.691,
2008-10,168.084,
2009-01,110.654,
2009-04,99.857,
2009-07,184.620,
2009-10,60.323,
2010-01,404.323,
2010-04,84.951,
2010-07,504.939,
2010-10,327.746,
2011-01,134.168,
2011-04,416.682,
2011-07,79.888,
2011-10,44.223,
2012-01,231.647,
2012-04,17.200,
2012-07,360.492,
2012-10,265.784,
2013-01,336.501,
2013-04,366.260,
2013-07,685.049,
2013-10,194.385,
2014-01,242.692,Provisional value
2014-04,514.448,Provisional value
2014-07,-220.193,Provisional value
2014-10,365.160,Provisional value
