"",BBFN1.M.DE.N.1.L.AR.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AR.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Argentina,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:03,
1975-12,0.009,
1976-01,0.015,
1976-02,0.015,
1976-03,0.010,
1976-04,0.009,
1976-05,0.007,
1976-06,0.008,
1976-07,0.008,
1976-08,0.008,
1976-09,0.008,
1976-10,0.008,
1976-11,0.008,
1976-12,0.008,
1977-01,0.011,
1977-02,0.010,
1977-03,0.010,
1977-04,0.011,
1977-05,0.011,
1977-06,0.011,
1977-07,0.012,
1977-08,0.012,
1977-09,0.012,
1977-10,0.012,
1977-11,0.012,
1977-12,0.012,
1978-01,0.012,
1978-02,0.008,
1978-03,0.008,
1978-04,0.008,
1978-05,0.008,
1978-06,0.008,
1978-07,0.008,
1978-08,0.008,
1978-09,0.008,
1978-10,0.008,
1978-11,0.007,
1978-12,0.007,
1979-01,0.008,
1979-02,0.009,
1979-03,0.009,
1979-04,0.008,
1979-05,0.008,
1979-06,0.008,
1979-07,0.008,
1979-08,0.007,
1979-09,0.008,
1979-10,0.009,
1979-11,0.009,
1979-12,0.009,
1980-01,0.009,
1980-02,0.009,
1980-03,0.010,
1980-04,0.010,
1980-05,0.010,
1980-06,0.009,
1980-07,0.009,
1980-08,0.009,
1980-09,0.008,
1980-10,0.008,
1980-11,0.008,
1980-12,0.008,
1981-01,0.009,
1981-02,0.006,
1981-03,0.008,
1981-04,0.007,
1981-05,0.007,
1981-06,0.009,
1981-07,0.007,
1981-08,0.007,
1981-09,0.007,
1981-10,0.009,
1981-11,0.010,
1981-12,0.013,
1982-01,0.012,
1982-02,0.012,
1982-03,0.010,
1982-04,0.010,
1982-05,0.010,
1982-06,0.011,
1982-07,0.010,
1982-08,0.010,
1982-09,0.009,
1982-10,0.011,
1982-11,0.010,
1982-12,0.011,
1983-01,0.011,
1983-02,0.011,
1983-03,0.011,
1983-04,0.016,
1983-05,0.014,
1983-06,0.014,
