"",BBNZ1.Q.DE.S.G.0082.A,BBNZ1.Q.DE.S.G.0082.A_FLAGS
"",Germany / National accounts / Origin of GDP / Real estate activities / At current prices / Seasonally adjusted only,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:37:47,
1991-01,28.965,
1991-04,29.488,
1991-07,30.135,
1991-10,32.365,
1992-01,34.469,
1992-04,34.922,
1992-07,35.695,
1992-10,35.854,
1993-01,38.693,
1993-04,39.305,
1993-07,39.739,
1993-10,40.092,
1994-01,42.356,
1994-04,43.301,
1994-07,43.724,
1994-10,44.246,
1995-01,46.130,
1995-04,46.512,
1995-07,47.361,
1995-10,48.164,
1996-01,48.078,
1996-04,48.823,
1996-07,49.035,
1996-10,49.796,
1997-01,48.527,
1997-04,49.490,
1997-07,50.051,
1997-10,51.458,
1998-01,50.011,
1998-04,50.249,
1998-07,50.422,
1998-10,51.098,
1999-01,49.991,
1999-04,49.623,
1999-07,49.808,
1999-10,50.792,
2000-01,51.893,
2000-04,52.310,
2000-07,52.556,
2000-10,52.710,
2001-01,54.350,
2001-04,54.317,
2001-07,54.930,
2001-10,55.531,
2002-01,56.178,
2002-04,56.289,
2002-07,56.943,
2002-10,57.076,
2003-01,55.992,
2003-04,56.545,
2003-07,57.075,
2003-10,56.912,
2004-01,56.748,
2004-04,57.302,
2004-07,57.168,
2004-10,57.632,
2005-01,58.142,
2005-04,58.471,
2005-07,58.911,
2005-10,58.926,
2006-01,59.950,
2006-04,60.593,
2006-07,61.178,
2006-10,62.476,
2007-01,64.230,
2007-04,64.925,
2007-07,65.554,
2007-10,65.742,
2008-01,67.323,
2008-04,68.157,
2008-07,68.397,
2008-10,67.823,
2009-01,65.933,
2009-04,66.701,
2009-07,66.882,
2009-10,67.596,
2010-01,67.369,
2010-04,66.806,
2010-07,67.438,
2010-10,67.395,
2011-01,70.070,
2011-04,70.009,
2011-07,70.692,
2011-10,70.950,
2012-01,69.112,
2012-04,69.125,
2012-07,69.546,
2012-10,69.692,
2013-01,69.978,
2013-04,70.197,
2013-07,70.345,
2013-10,70.820,
2014-01,72.016,
2014-04,72.195,
2014-07,72.606,
2014-10,73.055,
