"",BBK01.OECB11R,BBK01.OECB11R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:38,
2002-01,0.042,
2002-04,0.040,
2002-07,0.039,
2002-10,0.036,
2003-01,0.034,
2003-04,0.030,
2003-07,0.040,
2003-10,0.028,
2004-01,0.027,
2004-04,0.025,
2004-07,0.024,
2004-10,0.039,
2005-01,0.041,
2005-04,0.048,
2005-07,0.054,
2005-10,0.053,
2006-01,0.046,
2006-04,0.048,
2006-07,0.053,
2006-10,0.052,
2007-01,0.045,
2007-04,0.048,
2007-07,0.047,
2007-10,0.046,
2008-01,0.043,
2008-04,0.045,
2008-07,0.038,
2008-10,0.052,
2009-01,0.109,
2009-04,0.124,
2009-07,0.040,
2009-10,0.052,
2010-01,0.054,
2010-04,0.049,
2010-07,0.035,
2010-10,0.031,
2011-01,0.032,
2011-04,0.030,
2011-07,0.033,
2011-10,0.040,
2012-01,0.041,
2012-04,0.046,
2012-07,0.036,
2012-10,0.033,
2013-01,0.061,
2013-04,0.076,
2013-07,0.079,
2013-10,0.082,
2014-01,0.080,
2014-04,0.075,
2014-07,0.074,
