"",BBFB1.Q.N.DE.DK.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:16,
1991-01,67.131,
1991-04,193.080,
1991-07,267.982,
1991-10,-137.318,
1992-01,199.522,
1992-04,-240.303,
1992-07,272.552,
1992-10,230.449,
1993-01,1041.132,
1993-04,-1362.510,
1993-07,866.877,
1993-10,244.946,
1994-01,316.278,
1994-04,-838.015,
1994-07,-362.365,
1994-10,-314.789,
1995-01,-53.717,
1995-04,23.143,
1995-07,876.987,
1995-10,185.846,
1996-01,576.456,
1996-04,760.911,
1996-07,8.784,
1996-10,711.734,
1997-01,1557.285,
1997-04,1348.843,
1997-07,2086.370,
1997-10,1107.807,
1998-01,459.969,
1998-04,696.555,
1998-07,-147.947,
1998-10,901.767,
1999-01,1456.487,
1999-04,-67.676,
1999-07,1003.100,
1999-10,1.218,
2000-01,85.037,
2000-04,718.279,
2000-07,857.614,
2000-10,-343.109,
2001-01,2117.714,
2001-04,-1779.416,
2001-07,443.883,
2001-10,-815.769,
2002-01,1311.272,
2002-04,1502.964,
2002-07,237.980,
2002-10,-327.448,
2003-01,2080.337,
2003-04,585.379,
2003-07,-366.508,
2003-10,1772.914,
2004-01,2478.467,
2004-04,658.710,
2004-07,2307.165,
2004-10,-341.894,
2005-01,1027.773,
2005-04,120.036,
2005-07,-1261.404,
2005-10,-309.830,
2006-01,1620.367,
2006-04,-86.560,
2006-07,534.435,
2006-10,4035.556,
2007-01,-1256.329,
2007-04,-1295.515,
2007-07,264.693,
2007-10,-1097.762,
2008-01,1338.095,
2008-04,772.952,
2008-07,999.331,
2008-10,-903.304,
2009-01,636.934,
2009-04,2420.582,
2009-07,2840.009,
2009-10,12121.690,
2010-01,970.796,
2010-04,-3567.226,
2010-07,923.069,
2010-10,2660.071,
2011-01,-2356.839,
2011-04,-977.907,
2011-07,3500.345,
2011-10,-3510.326,
2012-01,2505.081,
2012-04,3752.287,
2012-07,2377.904,
2012-10,-458.823,
2013-01,4865.393,
2013-04,-3603.479,
2013-07,-750.706,
2013-10,-738.734,
2014-01,1439.670,Provisional value
2014-04,-645.099,Provisional value
2014-07,3836.947,Provisional value
2014-10,-1460.859,Provisional value
