"",BBK01.OEHB08M,BBK01.OEHB08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:58,
2002-01,49.135,
2002-04,49.531,
2002-07,49.918,
2002-10,50.341,
2003-01,52.065,
2003-04,52.426,
2003-07,53.029,
2003-10,53.623,
2004-01,53.514,
2004-04,53.759,
2004-07,53.965,
2004-10,54.061,
2005-01,52.875,
2005-04,53.162,
2005-07,53.238,
2005-10,53.569,
2006-01,53.353,
2006-04,53.465,
2006-07,53.592,
2006-10,53.641,
2007-01,53.295,
2007-04,53.130,
2007-07,53.095,
2007-10,53.074,
2008-01,52.906,
2008-04,53.159,
2008-07,53.464,
2008-10,53.605,
2009-01,53.452,
2009-04,53.759,
2009-07,54.229,
2009-10,54.604,
2010-01,54.379,
2010-04,54.922,
2010-07,55.247,
2010-10,55.806,
2011-01,55.797,
2011-04,56.198,
2011-07,56.569,
2011-10,56.868,
2012-01,56.730,
2012-04,57.025,
2012-07,57.355,
2012-10,57.691,
2013-01,57.710,
2013-04,57.961,
2013-07,58.623,
2013-10,58.909,
2014-01,58.891,
2014-04,59.153,
2014-07,59.518,
