"",BBEX3.A.PGK.USD.CM.AC.A04,BBEX3.A.PGK.USD.CM.AC.A04_FLAGS
"",Exchange rates for the US dollar in Papua New Guinea / PGK 1 = USD ... (middle),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:15:48,
1978,1.41910,
1979,1.40508,
1980,1.49556,
1981,1.48464,
1982,1.35008,
1983,1.19323,comment
1984,1.11450,
1985,1.00596,
1986,1.03200,
1987,1.10333,
1988,1.15090,
1989,1.16529,
1990,1.04429,comment
1991,1.05090,
1992,1.03511,
1993,1.02147,
1994,0.99340,comment
1995,0.77683,
1996,0.75713,
1997,0.68629,
1998,0.47079,
1999,0.38445,
2000,0.36446,
2001,0.29739,
2002,0.26002,
2003,0.28855,
2004,0.32018,
2005,0.32740,
2006,0.33549,
2007,0.34499,
2008,0.37871,
2009,0.36488,
2010,0.36770,
2011,0.42996,
2012,0.48254,
2013,0.43180,
2014,0.38587,
"","General: Until 18 April 1975, the Australian dollar (AUD) was the sole legal tender. On 19 April 1975, the kina (PGK) was introduced as the country's own currency at a rate of PGK 1 = AUD 1; the Australian dollar remained legal tender alongside the kina until 31 December 1975. Thereafter, the exchange rates for the kina and the Australian dollar were as follows: until 24 July 1976: PGK 1 = AUD 1; from 25 July 1976: PGK 1 = AUD 1.05; from 29 November 1976: PGK 1 = AUD 1.1812. On 17 December 1976, the kina ceased to be pegged to the Australian dollar.",
"","Source: Since November 2013 Bank South Pacific, Port Moresby April 2008 - October 2013 ANZ Banking Group (PNG) Limited, Port Moresby  1983 - March 2008 Westpac Bank (PNG) Limited, Port Moresby (October 2007 ANZ Banking Group)  1978 - 1982 Bank of Papua New Guinea, Port Moresby",
"",Methodology: Calculated on the basis of month-end buying and selling rates.,
"","Comment on 1983: On 8 March 1983, following the depreciation of the Australian dollar, the kina was devalued by 5.5% against the trade-weighted currency basket.",
"","Comment on 1990: On 9 January 1990, the kina was devalued. We recorded the following exchange rates (middle).  08.01.1990: PGK 1 = USD 1.1581  09.01.1990: PGK 1 = USD 1.0443  Calculated devaluation: 9.8%.",
"","Comment on 1994: On 12 September 1994, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate).  9 September 1994: PGK 1 = USD 1.0574 / 1.0494  12 September 1994: PGK 1 = USD 0.9303 / 0.9223  Calculated devaluation: 12.1% (middle rate).",
