"",BBDE1.M.DE.Y.JAA9.P2XF50100.C.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50100.C.V.ABA.A_FLAGS
"","Construction permits - estimated construction cost / At current prices, flows / Germany / Total (including construction work on existing buildings) - residential buildings, total / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-01-15 11:09:25,
1994-01,6.25,
1994-02,6.04,
1994-03,6.05,
1994-04,6.53,
1994-05,6.20,
1994-06,6.48,
1994-07,6.48,
1994-08,6.89,
1994-09,6.38,
1994-10,7.12,
1994-11,6.64,
1994-12,6.50,
1995-01,6.46,
1995-02,6.32,
1995-03,6.01,
1995-04,6.13,
1995-05,5.76,
1995-06,5.59,
1995-07,5.94,
1995-08,5.74,
1995-09,5.61,
1995-10,5.50,
1995-11,5.67,
1995-12,6.40,
1996-01,5.65,
1996-02,5.80,
1996-03,5.99,
1996-04,5.81,
1996-05,5.35,
1996-06,5.98,
1996-07,5.63,
1996-08,5.57,
1996-09,5.74,
1996-10,5.30,
1996-11,5.53,
1996-12,5.69,
1997-01,5.27,
1997-02,5.78,
1997-03,5.53,
1997-04,5.15,
1997-05,5.81,
1997-06,5.22,
1997-07,5.39,
1997-08,5.32,
1997-09,5.59,
1997-10,5.44,
1997-11,5.44,
1997-12,5.11,
1998-01,4.72,
1998-02,4.54,
1998-03,4.93,
1998-04,5.16,
1998-05,5.84,
1998-06,5.65,
1998-07,5.00,
1998-08,5.44,
1998-09,5.41,
1998-10,5.22,
1998-11,5.02,
1998-12,5.18,
1999-01,4.81,
1999-02,4.33,
1999-03,4.61,
1999-04,4.84,
1999-05,5.12,
1999-06,5.10,
1999-07,5.23,
1999-08,5.07,
1999-09,5.04,
1999-10,5.21,
1999-11,4.88,
1999-12,4.43,
2000-01,4.91,
2000-02,4.29,
2000-03,4.38,
2000-04,4.11,
2000-05,4.09,
2000-06,3.99,
2000-07,4.08,
2000-08,4.03,
2000-09,3.94,
2000-10,3.76,
2000-11,3.74,
2000-12,3.40,
2001-01,3.18,
2001-02,3.48,
2001-03,3.46,
2001-04,3.61,
2001-05,3.79,
2001-06,3.71,
2001-07,3.80,
2001-08,3.54,
2001-09,3.49,
2001-10,3.59,
2001-11,3.29,
2001-12,2.95,
2002-01,3.37,
2002-02,3.30,
2002-03,3.19,
2002-04,3.46,
2002-05,3.39,
2002-06,3.43,
2002-07,3.40,
2002-08,3.22,
2002-09,3.26,
2002-10,3.12,
2002-11,3.35,
2002-12,4.56,
2003-01,5.46,
2003-02,4.60,
2003-03,4.07,
2003-04,3.65,
2003-05,3.36,
2003-06,3.28,
2003-07,3.04,
2003-08,3.20,
2003-09,3.16,
2003-10,3.34,
2003-11,3.49,
2003-12,4.38,
2004-01,5.06,
2004-02,4.69,
2004-03,4.13,
2004-04,3.39,
2004-05,3.00,
2004-06,2.83,
2004-07,2.54,
2004-08,2.76,
2004-09,2.73,
2004-10,2.80,
2004-11,2.96,
2004-12,2.94,
2005-01,3.44,
2005-02,3.02,
2005-03,2.81,
2005-04,2.68,
2005-05,2.67,
2005-06,2.68,
2005-07,2.62,
2005-08,2.81,
2005-09,2.97,
2005-10,2.82,
2005-11,3.21,
2005-12,3.50,
2006-01,4.52,
2006-02,3.95,
2006-03,3.68,
2006-04,3.23,
2006-05,3.07,
2006-06,2.77,
2006-07,2.82,
2006-08,2.79,
2006-09,2.67,
2006-10,2.54,
2006-11,2.47,
2006-12,2.26,
2007-01,2.09,
2007-02,2.00,
2007-03,2.07,
2007-04,2.35,
2007-05,2.39,
2007-06,2.29,
2007-07,2.33,
2007-08,2.22,
2007-09,2.46,
2007-10,2.31,
2007-11,2.35,
2007-12,2.31,
2008-01,2.18,
2008-02,2.25,
2008-03,2.18,
2008-04,2.38,
2008-05,2.23,
2008-06,2.30,
2008-07,2.29,
2008-08,2.16,
2008-09,2.19,
2008-10,2.25,
2008-11,2.08,
2008-12,2.08,
2009-01,2.20,
2009-02,1.95,
2009-03,2.13,
2009-04,2.30,
2009-05,2.40,
2009-06,2.29,
2009-07,2.43,
2009-08,2.48,
2009-09,2.45,
2009-10,2.60,
2009-11,2.49,
2009-12,2.41,
2010-01,2.23,
2010-02,2.29,
2010-03,2.29,
2010-04,2.22,
2010-05,2.41,
2010-06,2.68,
2010-07,2.71,
2010-08,2.81,
2010-09,2.68,
2010-10,2.74,
2010-11,2.86,
2010-12,2.32,
2011-01,2.85,
2011-02,2.99,
2011-03,3.17,
2011-04,3.00,
2011-05,3.08,
2011-06,3.09,
2011-07,3.05,
2011-08,3.10,
2011-09,3.08,
2011-10,3.14,
2011-11,3.20,
2011-12,3.27,
2012-01,2.64,
2012-02,2.97,
2012-03,3.21,
2012-04,3.04,
2012-05,3.51,
2012-06,3.60,
2012-07,3.41,
2012-08,3.39,
2012-09,3.44,
2012-10,3.36,
2012-11,3.25,
2012-12,3.34,
2013-01,3.35,
2013-02,3.46,
2013-03,3.46,
2013-04,3.81,
2013-05,3.53,
2013-06,3.56,
2013-07,4.02,
2013-08,3.61,
2013-09,3.96,
2013-10,3.67,
2013-11,3.70,
2013-12,3.62,
2014-01,3.97,
2014-02,3.87,
2014-03,3.78,
2014-04,3.91,
2014-05,3.88,
2014-06,3.79,
2014-07,3.91,
2014-08,3.94,
2014-09,3.83,
2014-10,4.00,
2014-11,3.86,
