"",BBK01.OECO01K,BBK01.OECO01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:34,
2002-01,0.968,
2002-04,0.927,
2002-07,0.621,
2002-10,0.608,
2003-01,0.676,
2003-04,0.662,
2003-07,0.638,
2003-10,0.724,
2004-01,0.708,
2004-04,0.668,
2004-07,0.658,
2004-10,1.366,
2005-01,2.659,
2005-04,2.622,
2005-07,2.750,
2005-10,2.747,
2006-01,2.634,
2006-04,2.508,
2006-07,2.487,
2006-10,2.431,
2007-01,2.410,
2007-04,2.465,
2007-07,2.419,
2007-10,2.366,
2008-01,2.399,
2008-04,2.406,
2008-07,2.483,
2008-10,2.422,
2009-01,2.574,
2009-04,2.772,
2009-07,2.954,
2009-10,3.296,
2010-01,3.243,
2010-04,3.316,
2010-07,3.271,
2010-10,3.276,
2011-01,3.327,
2011-04,3.279,
2011-07,3.182,
2011-10,3.138,
2012-01,3.108,
2012-04,3.364,
2012-07,3.269,
2012-10,3.498,
2013-01,3.520,
2013-04,3.253,
2013-07,3.180,
2013-10,3.085,
2014-01,3.074,
2014-04,3.012,
2014-07,2.944,
