"",BBK01.OECJ02Q,BBK01.OECJ02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:20,
2002-01,0.656,
2002-04,0.645,
2002-07,0.638,
2002-10,0.912,
2003-01,0.872,
2003-04,0.833,
2003-07,1.677,
2003-10,0.861,
2004-01,0.753,
2004-04,0.748,
2004-07,0.778,
2004-10,1.117,
2005-01,1.167,
2005-04,1.171,
2005-07,1.366,
2005-10,1.108,
2006-01,0.948,
2006-04,1.047,
2006-07,1.003,
2006-10,1.131,
2007-01,1.027,
2007-04,1.115,
2007-07,1.023,
2007-10,1.223,
2008-01,1.102,
2008-04,1.131,
2008-07,1.148,
2008-10,1.285,
2009-01,1.250,
2009-04,1.272,
2009-07,1.385,
2009-10,1.650,
2010-01,1.531,
2010-04,1.527,
2010-07,1.456,
2010-10,1.649,
2011-01,1.575,
2011-04,1.447,
2011-07,1.418,
2011-10,1.532,
2012-01,1.582,
2012-04,1.511,
2012-07,1.487,
2012-10,1.797,
2013-01,1.708,
2013-04,1.723,
2013-07,1.727,
2013-10,1.942,
2014-01,1.810,
2014-04,1.832,
2014-07,2.009,
