"",BBK01.OEYI10M,BBK01.OEYI10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:35,
2002-01,5.219,
2002-04,5.244,
2002-07,5.241,
2002-10,5.257,
2003-01,5.239,
2003-04,5.242,
2003-07,5.204,
2003-10,5.216,
2004-01,3.967,
2004-04,3.963,
2004-07,4.297,
2004-10,1.468,
2005-01,1.451,
2005-04,1.425,
2005-07,1.404,
2005-10,1.388,
2006-01,1.401,
2006-04,1.593,
2006-07,1.937,
2006-10,1.579,
2007-01,2.551,
2007-04,2.499,
2007-07,2.419,
2007-10,2.464,
2008-01,0.100,
2008-04,0.099,
2008-07,0.097,
2008-10,0.096,
2009-01,0.094,
2009-04,0.123,
2009-07,0.137,
2009-10,0.132,
2010-01,0.119,
2010-04,0.116,
2010-07,0.112,
2010-10,0.105,
2011-01,0.102,
2011-04,0.101,
2011-07,0.099,
2011-10,0.098,
2012-01,0.098,
2012-04,0.098,
2012-07,0.086,
2012-10,0.084,
2013-01,0.081,
2013-04,0.079,
2013-07,0.077,
2013-10,0.075,
2014-01,0.069,
2014-04,0.066,
2014-07,0.063,
