"",BBK01.OEXL03T,BBK01.OEXL03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:04,
2002-01,0.130,
2002-04,0.113,
2002-07,0.119,
2002-10,0.120,
2003-01,0.109,
2003-04,0.079,
2003-07,0.078,
2003-10,0.071,
2004-01,0.070,
2004-04,0.062,
2004-07,0.061,
2004-10,0.024,
2005-01,0.024,
2005-04,0.022,
2005-07,0.023,
2005-10,0.024,
2006-01,0.025,
2006-04,0.023,
2006-07,0.035,
2006-10,0.066,
2007-01,0.066,
2007-04,0.067,
2007-07,0.067,
2007-10,0.073,
2008-01,0.081,
2008-04,0.084,
2008-07,0.085,
2008-10,0.090,
2009-01,0.066,
2009-04,0.055,
2009-07,0.042,
2009-10,0.034,
2010-01,0.053,
2010-04,0.062,
2010-07,0.047,
2010-10,0.042,
2011-01,0.043,
2011-04,0.046,
2011-07,0.051,
2011-10,0.056,
2012-01,0.073,
2012-04,0.076,
2012-07,0.074,
2012-10,0.072,
2013-01,0.072,
2013-04,0.071,
2013-07,0.071,
2013-10,0.069,
2014-01,0.066,
2014-04,0.067,
2014-07,0.065,
