"",BBK01.OEAA46V,BBK01.OEAA46V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:20,
2002-01,0.235,
2002-04,0.233,
2002-07,0.256,
2002-10,0.578,
2003-01,0.532,
2003-04,0.544,
2003-07,0.561,
2003-10,0.578,
2004-01,0.578,
2004-04,0.590,
2004-07,0.667,
2004-10,0.654,
2005-01,0.589,
2005-04,0.588,
2005-07,0.360,
2005-10,0.360,
2006-01,0.352,
2006-04,0.388,
2006-07,0.369,
2006-10,0.414,
2007-01,0.440,
2007-04,0.434,
2007-07,0.493,
2007-10,0.357,
2008-01,0.377,
2008-04,0.234,
2008-07,0.248,
2008-10,0.261,
2009-01,0.271,
2009-04,0.280,
2009-07,0.289,
2009-10,0.277,
2010-01,0.278,
2010-04,0.278,
2010-07,0.300,
2010-10,0.324,
2011-01,0.307,
2011-04,0.336,
2011-07,0.305,
2011-10,0.299,
2012-01,0.275,
2012-04,0.268,
2012-07,0.261,
2012-10,0.211,
2013-01,0.197,
2013-04,0.208,
2013-07,0.202,
2013-10,0.232,
2014-01,0.195,
2014-04,0.190,
2014-07,0.158,
