"",BBK01.OEAM03L,BBK01.OEAM03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:24,
2002-01,6.530,
2002-04,6.986,
2002-07,6.782,
2002-10,6.459,
2003-01,6.744,
2003-04,8.599,
2003-07,5.726,
2003-10,5.932,
2004-01,8.827,
2004-04,9.032,
2004-07,7.758,
2004-10,7.097,
2005-01,7.563,
2005-04,9.590,
2005-07,11.868,
2005-10,9.585,
2006-01,10.347,
2006-04,12.402,
2006-07,11.925,
2006-10,10.989,
2007-01,12.901,
2007-04,18.136,
2007-07,15.405,
2007-10,17.587,
2008-01,16.949,
2008-04,19.988,
2008-07,21.454,
2008-10,16.357,
2009-01,16.682,
2009-04,21.727,
2009-07,13.268,
2009-10,13.973,
2010-01,12.331,
2010-04,13.278,
2010-07,12.832,
2010-10,13.597,
2011-01,14.647,
2011-04,16.601,
2011-07,18.200,
2011-10,17.468,
2012-01,16.588,
2012-04,18.845,
2012-07,18.038,
2012-10,20.725,
2013-01,18.002,
2013-04,17.856,
2013-07,17.061,
2013-10,21.555,
2014-01,19.337,
2014-04,20.495,
2014-07,21.385,
