"",BBK01.OEXB09I,BBK01.OEXB09I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:11,
2002-01,13.791,
2002-04,12.742,
2002-07,12.650,
2002-10,12.239,
2003-01,11.916,
2003-04,12.066,
2003-07,10.795,
2003-10,9.686,
2004-01,9.595,
2004-04,9.843,
2004-07,9.850,
2004-10,10.009,
2005-01,10.149,
2005-04,10.227,
2005-07,10.037,
2005-10,9.150,
2006-01,9.237,
2006-04,9.454,
2006-07,6.830,
2006-10,7.776,
2007-01,7.723,
2007-04,7.814,
2007-07,7.838,
2007-10,8.085,
2008-01,8.095,
2008-04,9.498,
2008-07,10.009,
2008-10,9.998,
2009-01,10.252,
2009-04,10.645,
2009-07,10.662,
2009-10,10.759,
2010-01,10.795,
2010-04,11.150,
2010-07,11.399,
2010-10,11.990,
2011-01,11.791,
2011-04,11.918,
2011-07,12.128,
2011-10,13.337,
2012-01,13.940,
2012-04,13.500,
2012-07,13.557,
2012-10,13.669,
2013-01,13.737,
2013-04,13.742,
2013-07,13.741,
2013-10,14.388,
2014-01,14.089,
2014-04,14.098,
2014-07,14.407,
