"",BBK01.OELO02U,BBK01.OELO02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:06,
2002-01,0.324,
2002-04,0.205,
2002-07,0.227,
2002-10,0.244,
2003-01,0.238,
2003-04,0.278,
2003-07,0.217,
2003-10,0.268,
2004-01,0.254,
2004-04,0.177,
2004-07,0.202,
2004-10,0.264,
2005-01,0.254,
2005-04,0.183,
2005-07,0.177,
2005-10,0.188,
2006-01,0.222,
2006-04,0.186,
2006-07,0.177,
2006-10,0.211,
2007-01,0.234,
2007-04,0.182,
2007-07,0.190,
2007-10,0.195,
2008-01,0.238,
2008-04,0.183,
2008-07,0.164,
2008-10,0.242,
2009-01,0.270,
2009-04,0.243,
2009-07,0.239,
2009-10,0.288,
2010-01,0.240,
2010-04,0.204,
2010-07,0.160,
2010-10,0.161,
2011-01,0.167,
2011-04,0.163,
2011-07,0.140,
2011-10,0.154,
2012-01,0.178,
2012-04,0.189,
2012-07,0.195,
2012-10,0.188,
2013-01,0.213,
2013-04,0.167,
2013-07,0.142,
2013-10,0.145,
2014-01,0.165,
2014-04,0.143,
2014-07,0.139,
