"",BBK01.OEXK03Q,BBK01.OEXK03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:14,
2002-01,0.248,
2002-04,0.247,
2002-07,0.256,
2002-10,0.250,
2003-01,0.229,
2003-04,0.205,
2003-07,0.198,
2003-10,0.215,
2004-01,0.255,
2004-04,0.240,
2004-07,0.282,
2004-10,0.149,
2005-01,0.136,
2005-04,0.136,
2005-07,0.145,
2005-10,0.171,
2006-01,0.195,
2006-04,0.246,
2006-07,0.287,
2006-10,0.307,
2007-01,0.320,
2007-04,0.342,
2007-07,0.362,
2007-10,0.379,
2008-01,0.386,
2008-04,0.379,
2008-07,0.412,
2008-10,0.365,
2009-01,0.265,
2009-04,0.200,
2009-07,0.172,
2009-10,0.127,
2010-01,0.127,
2010-04,0.126,
2010-07,0.124,
2010-10,0.127,
2011-01,0.134,
2011-04,0.139,
2011-07,0.150,
2011-10,0.155,
2012-01,0.169,
2012-04,0.149,
2012-07,0.139,
2012-10,0.142,
2013-01,0.148,
2013-04,0.149,
2013-07,0.155,
2013-10,0.154,
2014-01,0.141,
2014-04,0.140,
2014-07,0.129,
