"",BBK01.OEBL07U,BBK01.OEBL07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:56,
2002-01,1.373,
2002-04,1.196,
2002-07,1.194,
2002-10,1.264,
2003-01,1.260,
2003-04,1.216,
2003-07,1.223,
2003-10,1.226,
2004-01,1.194,
2004-04,1.168,
2004-07,1.190,
2004-10,1.198,
2005-01,1.914,
2005-04,1.885,
2005-07,1.829,
2005-10,1.835,
2006-01,1.833,
2006-04,1.800,
2006-07,1.752,
2006-10,1.794,
2007-01,1.887,
2007-04,1.894,
2007-07,1.893,
2007-10,1.992,
2008-01,2.036,
2008-04,2.080,
2008-07,2.064,
2008-10,2.225,
2009-01,2.213,
2009-04,2.184,
2009-07,2.243,
2009-10,2.242,
2010-01,2.178,
2010-04,2.135,
2010-07,2.127,
2010-10,2.230,
2011-01,2.273,
2011-04,2.254,
2011-07,2.236,
2011-10,2.223,
2012-01,2.302,
2012-04,2.286,
2012-07,2.299,
2012-10,2.293,
2013-01,2.228,
2013-04,2.176,
2013-07,2.154,
2013-10,2.160,
2014-01,2.144,
2014-04,2.097,
2014-07,2.176,
