"",BBK01.OEXL08V,BBK01.OEXL08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:38,
2002-01,0.889,
2002-04,0.854,
2002-07,0.847,
2002-10,0.902,
2003-01,0.902,
2003-04,0.892,
2003-07,0.918,
2003-10,0.957,
2004-01,0.940,
2004-04,0.615,
2004-07,0.614,
2004-10,0.613,
2005-01,0.656,
2005-04,0.672,
2005-07,0.594,
2005-10,0.625,
2006-01,0.640,
2006-04,0.620,
2006-07,0.602,
2006-10,0.661,
2007-01,0.666,
2007-04,0.668,
2007-07,0.678,
2007-10,0.700,
2008-01,0.725,
2008-04,0.708,
2008-07,0.690,
2008-10,0.685,
2009-01,0.667,
2009-04,0.654,
2009-07,0.661,
2009-10,0.718,
2010-01,0.723,
2010-04,0.705,
2010-07,0.705,
2010-10,0.704,
2011-01,0.698,
2011-04,0.653,
2011-07,0.645,
2011-10,0.649,
2012-01,0.644,
2012-04,0.632,
2012-07,0.694,
2012-10,0.681,
2013-01,0.687,
2013-04,0.691,
2013-07,0.708,
2013-10,0.738,
2014-01,0.730,
2014-04,0.722,
2014-07,0.715,
