"",BBK01.OEGI08I,BBK01.OEGI08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:09,
2002-01,6.997,
2002-04,6.859,
2002-07,6.792,
2002-10,6.772,
2003-01,6.957,
2003-04,6.969,
2003-07,7.769,
2003-10,7.764,
2004-01,7.724,
2004-04,7.623,
2004-07,7.496,
2004-10,7.584,
2005-01,7.601,
2005-04,7.511,
2005-07,7.437,
2005-10,7.465,
2006-01,7.419,
2006-04,7.360,
2006-07,7.227,
2006-10,6.822,
2007-01,6.804,
2007-04,6.783,
2007-07,6.824,
2007-10,6.899,
2008-01,6.852,
2008-04,6.793,
2008-07,6.787,
2008-10,7.369,
2009-01,7.290,
2009-04,6.587,
2009-07,6.024,
2009-10,5.643,
2010-01,4.862,
2010-04,4.709,
2010-07,4.606,
2010-10,4.544,
2011-01,4.295,
2011-04,4.174,
2011-07,4.059,
2011-10,3.909,
2012-01,3.677,
2012-04,3.561,
2012-07,3.463,
2012-10,3.360,
2013-01,3.250,
2013-04,3.179,
2013-07,3.103,
2013-10,3.019,
2014-01,2.926,
2014-04,2.870,
2014-07,2.809,
