"",BBK01.CEHF1Q,BBK01.CEHF1Q_FLAGS
"",longer-term loans  (consolidated) debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:31,
1991-01,16.9,
1991-04,11.6,
1991-07,22.7,
1991-10,11.5,
1992-01,14.1,
1992-04,15.5,
1992-07,14.5,
1992-10,12.1,
1993-01,14.9,
1993-04,10.9,
1993-07,15.1,
1993-10,12.7,
1994-01,3.2,
1994-04,10.0,
1994-07,6.2,
1994-10,-0.9,
1995-01,2.9,
1995-04,8.1,
1995-07,7.3,
1995-10,-0.5,
1996-01,7.6,
1996-04,12.0,
1996-07,6.7,
1996-10,11.4,
1997-01,5.2,
1997-04,2.0,
1997-07,10.1,
1997-10,19.9,
1998-01,7.4,
1998-04,4.6,
1998-07,15.1,
1998-10,27.7,
1999-01,8.8,
1999-04,14.4,
1999-07,25.4,
1999-10,21.5,
2000-01,-7.4,
2000-04,12.0,
2000-07,22.2,
2000-10,6.3,
2001-01,1.7,
2001-04,6.2,
2001-07,17.3,
2001-10,11.0,
2002-01,4.4,
2002-04,7.9,
2002-07,-1.0,
2002-10,8.7,
2003-01,-5.1,
2003-04,-0.8,
2003-07,-9.9,
2003-10,1.8,
2004-01,-2.2,
2004-04,1.7,
2004-07,-14.2,
2004-10,1.0,
2005-01,5.1,
2005-04,-1.0,
2005-07,-0.3,
2005-10,0.1,
2006-01,0.3,
2006-04,4.6,
2006-07,4.6,
2006-10,-4.8,
2007-01,4.5,
2007-04,3.7,
2007-07,3.8,
2007-10,16.5,
2008-01,-12.4,
2008-04,8.9,
2008-07,14.7,
2008-10,4.5,
2009-01,12.8,
2009-04,10.2,
2009-07,1.6,
2009-10,5.6,
2010-01,-7.0,
2010-04,-1.7,
2010-07,3.7,
2010-10,2.2,
2011-01,-0.3,
2011-04,4.8,
2011-07,1.9,
2011-10,7.0,
2012-01,-4.0,
2012-04,7.8,
2012-07,21.3,
2012-10,-17.1,
2013-01,13.0,
2013-04,9.6,
2013-07,1.3,
2013-10,13.7,
2014-01,1.1,
