"",BBK01.RJ7472,BBK01.RJ7472_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:34:54,
1989,29,
1990,.,No value available
1991,.,No value available
1992,.,No value available
1993,-,Nothing exists
1994,-,Nothing exists
1995,.,No value available
1996,.,No value available
1997,-,Nothing exists
1998,.,No value available
1999,.,No value available
2000,.,No value available
2001,.,No value available
2002,.,No value available
2003,.,No value available
2004,.,No value available
2005,61,
2006,61,
2007,17,
2008,17,
2009,33,
2010,52,
2011,122,
2012,173,
