"",BBK01.OELK02J,BBK01.OELK02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:17,
2002-01,0.058,
2002-04,0.061,
2002-07,0.061,
2002-10,0.061,
2003-01,0.060,
2003-04,0.065,
2003-07,0.061,
2003-10,0.069,
2004-01,0.061,
2004-04,0.067,
2004-07,0.065,
2004-10,0.069,
2005-01,0.063,
2005-04,0.063,
2005-07,0.063,
2005-10,0.064,
2006-01,0.067,
2006-04,0.068,
2006-07,0.067,
2006-10,0.070,
2007-01,0.081,
2007-04,0.083,
2007-07,0.086,
2007-10,0.080,
2008-01,0.079,
2008-04,0.073,
2008-07,0.070,
2008-10,0.079,
2009-01,0.081,
2009-04,0.087,
2009-07,0.094,
2009-10,0.098,
2010-01,0.105,
2010-04,0.108,
2010-07,0.115,
2010-10,0.126,
2011-01,0.119,
2011-04,0.112,
2011-07,0.115,
2011-10,0.128,
2012-01,0.118,
2012-04,0.179,
2012-07,0.191,
2012-10,0.197,
2013-01,0.213,
2013-04,0.215,
2013-07,0.219,
2013-10,0.219,
2014-01,0.223,
2014-04,0.229,
2014-07,0.239,
