"",BBK01.OEYB05I,BBK01.OEYB05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:39,
2002-01,73.497,
2002-04,76.518,
2002-07,71.255,
2002-10,69.439,
2003-01,67.204,
2003-04,57.418,
2003-07,59.881,
2003-10,57.422,
2004-01,56.869,
2004-04,56.183,
2004-07,56.090,
2004-10,56.036,
2005-01,55.366,
2005-04,55.661,
2005-07,57.340,
2005-10,58.273,
2006-01,56.426,
2006-04,57.486,
2006-07,69.992,
2006-10,68.875,
2007-01,65.126,
2007-04,64.936,
2007-07,63.821,
2007-10,65.711,
2008-01,66.657,
2008-04,65.931,
2008-07,66.449,
2008-10,64.437,
2009-01,64.116,
2009-04,66.084,
2009-07,78.683,
2009-10,80.076,
2010-01,80.025,
2010-04,78.287,
2010-07,74.427,
2010-10,74.942,
2011-01,78.146,
2011-04,79.034,
2011-07,78.820,
2011-10,75.062,
2012-01,78.856,
2012-04,79.054,
2012-07,75.930,
2012-10,72.002,
2013-01,71.697,
2013-04,74.436,
2013-07,65.324,
2013-10,64.970,
2014-01,65.059,
2014-04,64.393,
2014-07,63.537,
