"",BBK01.OEBK01J,BBK01.OEBK01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:50,
2002-01,0.451,
2002-04,0.458,
2002-07,0.472,
2002-10,0.508,
2003-01,0.471,
2003-04,0.452,
2003-07,0.453,
2003-10,0.476,
2004-01,0.474,
2004-04,0.476,
2004-07,0.595,
2004-10,0.479,
2005-01,0.482,
2005-04,0.478,
2005-07,0.424,
2005-10,0.437,
2006-01,0.425,
2006-04,0.432,
2006-07,0.394,
2006-10,0.440,
2007-01,0.431,
2007-04,0.473,
2007-07,0.479,
2007-10,0.515,
2008-01,0.497,
2008-04,0.513,
2008-07,0.537,
2008-10,0.601,
2009-01,0.608,
2009-04,0.595,
2009-07,0.618,
2009-10,0.587,
2010-01,0.598,
2010-04,0.598,
2010-07,0.565,
2010-10,0.565,
2011-01,0.553,
2011-04,0.556,
2011-07,0.588,
2011-10,0.576,
2012-01,0.622,
2012-04,0.611,
2012-07,0.595,
2012-10,0.596,
2013-01,0.624,
2013-04,0.629,
2013-07,0.645,
2013-10,0.659,
2014-01,0.681,
2014-04,0.665,
2014-07,0.668,
