"",BBK01.OEAI04N,BBK01.OEAI04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:25,
2002-01,67.683,
2002-04,66.825,
2002-07,66.123,
2002-10,68.849,
2003-01,66.903,
2003-04,65.607,
2003-07,59.952,
2003-10,62.367,
2004-01,58.280,
2004-04,58.772,
2004-07,58.378,
2004-10,56.272,
2005-01,53.202,
2005-04,56.041,
2005-07,57.944,
2005-10,63.081,
2006-01,60.980,
2006-04,67.480,
2006-07,74.217,
2006-10,79.963,
2007-01,77.262,
2007-04,79.504,
2007-07,90.965,
2007-10,105.739,
2008-01,108.871,
2008-04,115.713,
2008-07,127.478,
2008-10,139.084,
2009-01,122.253,
2009-04,108.469,
2009-07,106.101,
2009-10,93.434,
2010-01,90.245,
2010-04,92.681,
2010-07,90.622,
2010-10,95.485,
2011-01,86.892,
2011-04,90.288,
2011-07,99.574,
2011-10,100.069,
2012-01,102.333,
2012-04,114.691,
2012-07,109.251,
2012-10,72.843,
2013-01,69.415,
2013-04,65.264,
2013-07,57.783,
2013-10,55.696,
2014-01,55.136,
2014-04,53.228,
2014-07,51.329,
