"",BBK01.OEAC60I,BBK01.OEAC60I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:09,
2002-01,0.770,
2002-04,0.771,
2002-07,0.740,
2002-10,0.708,
2003-01,0.697,
2003-04,0.691,
2003-07,0.688,
2003-10,0.649,
2004-01,0.640,
2004-04,0.631,
2004-07,0.621,
2004-10,0.596,
2005-01,0.613,
2005-04,0.595,
2005-07,0.593,
2005-10,0.599,
2006-01,0.634,
2006-04,0.641,
2006-07,0.609,
2006-10,0.605,
2007-01,0.581,
2007-04,0.584,
2007-07,0.581,
2007-10,0.592,
2008-01,0.610,
2008-04,0.618,
2008-07,0.617,
2008-10,0.608,
2009-01,0.598,
2009-04,0.627,
2009-07,0.618,
2009-10,0.615,
2010-01,0.628,
2010-04,0.596,
2010-07,0.522,
2010-10,0.519,
2011-01,0.505,
2011-04,0.501,
2011-07,0.507,
2011-10,0.502,
2012-01,0.488,
2012-04,0.494,
2012-07,0.493,
2012-10,0.489,
2013-01,0.482,
2013-04,0.480,
2013-07,0.473,
2013-10,0.464,
2014-01,0.460,
2014-04,0.457,
2014-07,0.464,
