"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.D2.FL._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.D2.FL._Z._T._X.N_FLAGS
"",IIP - Direct investment in direct investors (reverse investment) - Debt instruments (FDI) - Assets - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:20,
1999-10,14411,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,14037,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,13411,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,13097,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,20892,
2004-01,20479,
2004-04,22765,
2004-07,23372,
2004-10,20971,
2005-01,21920,
2005-04,23952,
2005-07,28689,
2005-10,21668,
2006-01,22429,
2006-04,22934,
2006-07,24860,
2006-10,22930,
2007-01,24246,
2007-04,25118,
2007-07,23266,
2007-10,25505,
2008-01,28626,
2008-04,30364,
2008-07,32842,
2008-10,28993,
2009-01,29031,
2009-04,29944,
2009-07,29188,
2009-10,31318,
2010-01,35367,
2010-04,41389,
2010-07,36553,
2010-10,32426,
2011-01,37207,
2011-04,37814,
2011-07,43520,
2011-10,35249,
2012-01,36102,
2012-04,37213,
2012-07,36537,
2012-10,52719,
2013-01,54665,
2013-04,58165,
2013-07,53662,
2013-10,61134,
2014-01,58662,
2014-04,56774,
2014-07,56819,
