"",BBK01.OEAE05K,BBK01.OEAE05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:50,
2002-01,0.990,
2002-04,0.989,
2002-07,1.005,
2002-10,0.990,
2003-01,0.948,
2003-04,0.870,
2003-07,0.848,
2003-10,0.825,
2004-01,0.761,
2004-04,0.796,
2004-07,0.725,
2004-10,0.720,
2005-01,0.752,
2005-04,0.722,
2005-07,0.759,
2005-10,0.700,
2006-01,0.682,
2006-04,0.713,
2006-07,0.722,
2006-10,0.654,
2007-01,0.660,
2007-04,0.666,
2007-07,0.677,
2007-10,0.612,
2008-01,0.676,
2008-04,0.601,
2008-07,0.555,
2008-10,0.573,
2009-01,0.641,
2009-04,0.680,
2009-07,0.608,
2009-10,0.595,
2010-01,0.607,
2010-04,0.584,
2010-07,0.586,
2010-10,0.599,
2011-01,0.587,
2011-04,0.619,
2011-07,0.666,
2011-10,0.648,
2012-01,0.653,
2012-04,0.640,
2012-07,0.627,
2012-10,0.586,
2013-01,0.588,
2013-04,0.592,
2013-07,0.583,
2013-10,0.559,
2014-01,0.558,
2014-04,0.668,
2014-07,0.612,
