"",BBK01.CEFP02,BBK01.CEFP02_FLAGS
"",Time deposits                                                    debtor: Total           creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:56,
1999-01,1503.7,
1999-04,1532.4,
1999-07,1605.2,
1999-10,1654.1,
2000-01,1664.3,
2000-04,1650.4,
2000-07,1691.1,
2000-10,1776.7,
2001-01,1776.2,
2001-04,1767.2,
2001-07,1803.2,
2001-10,1859.4,
2002-01,1826.7,
2002-04,1839.2,
2002-07,1888.3,
2002-10,1976.6,
2003-01,1987.9,
2003-04,2054.7,
2003-07,2010.4,
2003-10,2075.8,
2004-01,2051.4,
2004-04,2145.2,
2004-07,2142.2,
2004-10,2267.2,
2005-01,2263.4,
2005-04,2321.1,
2005-07,2374.1,
2005-10,2395.5,
2006-01,2468.3,
2006-04,2536.4,
2006-07,2519.0,
2006-10,2583.7,
2007-01,2627.2,
2007-04,2667.7,
2007-07,2747.9,
2007-10,2928.6,
2008-01,2899.6,
2008-04,2920.9,
2008-07,3076.5,
2008-10,3124.7,
2009-01,2973.1,
2009-04,2999.2,
2009-07,2826.8,
2009-10,2846.9,
2010-01,2777.7,
2010-04,2851.0,
2010-07,2653.9,
2010-10,2608.0,
2011-01,2513.6,
2011-04,2524.8,
2011-07,2595.3,
2011-10,2639.5,
2012-01,2591.0,
2012-04,2564.1,
2012-07,2521.5,
2012-10,2410.9,
2013-01,2387.4,
2013-04,2377.6,
2013-07,2283.8,
2013-10,2292.7,
2014-01,2295.0,
2014-04,2317.4,
2014-07,2297.3,
