"",BBK01.OEAE34Q,BBK01.OEAE34Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:31,
2002-01,2.733,
2002-04,2.741,
2002-07,2.753,
2002-10,2.811,
2003-01,2.842,
2003-04,3.079,
2003-07,3.126,
2003-10,3.110,
2004-01,3.141,
2004-04,2.948,
2004-07,2.962,
2004-10,2.991,
2005-01,3.017,
2005-04,2.968,
2005-07,2.841,
2005-10,2.818,
2006-01,2.863,
2006-04,2.886,
2006-07,2.909,
2006-10,2.987,
2007-01,3.089,
2007-04,2.987,
2007-07,2.803,
2007-10,2.766,
2008-01,2.659,
2008-04,2.670,
2008-07,2.948,
2008-10,2.977,
2009-01,2.877,
2009-04,3.036,
2009-07,3.225,
2009-10,6.715,
2010-01,3.255,
2010-04,3.283,
2010-07,2.439,
2010-10,2.483,
2011-01,2.413,
2011-04,2.414,
2011-07,2.421,
2011-10,2.485,
2012-01,2.460,
2012-04,2.892,
2012-07,2.922,
2012-10,2.951,
2013-01,2.942,
2013-04,2.900,
2013-07,2.921,
2013-10,3.070,
2014-01,3.071,
2014-04,3.077,
2014-07,3.123,
