"",BBSF2.M.1.T.00000.DER01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.DER01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Derivative funds / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:28,
2009-09,74,
2009-10,72,
2009-11,71,
2009-12,72,
2010-01,70,
2010-02,74,
2010-03,75,
2010-04,76,
2010-05,73,
2010-06,73,
2010-07,74,
2010-08,76,
2010-09,77,
2010-10,76,
2010-11,72,
2010-12,70,
2011-01,72,
2011-02,73,
2011-03,2,
2011-04,2,
2011-05,2,
2011-06,3,
2011-07,2,
2011-08,2,
2011-09,2,
2011-10,2,
2011-11,2,
2011-12,2,
2012-01,3,
2012-02,3,
2012-03,3,
2012-04,3,
2012-05,2,
2012-06,3,
2012-07,3,
2012-08,3,
2012-09,3,
2012-10,3,
2012-11,4,
2012-12,4,
2013-01,3,
2013-02,3,
2013-03,4,
2013-04,3,
2013-05,3,
2013-06,3,
2013-07,3,
2013-08,3,
2013-09,3,
2013-10,2,
2013-11,2,
2013-12,2,
2014-01,2,
2014-02,2,
2014-03,2,
2014-04,2,
2014-05,2,
2014-06,2,
2014-07,2,
2014-08,2,
2014-09,2,
2014-10,2,
2014-11,0,
