"",BBK01.OEHJ02U,BBK01.OEHJ02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:24,
2002-01,0.497,
2002-04,0.507,
2002-07,0.518,
2002-10,0.582,
2003-01,0.525,
2003-04,0.568,
2003-07,0.593,
2003-10,0.614,
2004-01,0.565,
2004-04,0.548,
2004-07,0.607,
2004-10,0.681,
2005-01,0.605,
2005-04,0.627,
2005-07,0.646,
2005-10,0.705,
2006-01,0.640,
2006-04,0.660,
2006-07,0.684,
2006-10,0.745,
2007-01,0.658,
2007-04,0.697,
2007-07,0.691,
2007-10,0.724,
2008-01,0.664,
2008-04,0.688,
2008-07,0.727,
2008-10,0.825,
2009-01,0.795,
2009-04,0.844,
2009-07,0.980,
2009-10,1.131,
2010-01,1.037,
2010-04,1.089,
2010-07,1.169,
2010-10,1.212,
2011-01,1.142,
2011-04,1.114,
2011-07,1.237,
2011-10,1.340,
2012-01,1.273,
2012-04,1.318,
2012-07,1.409,
2012-10,1.482,
2013-01,1.389,
2013-04,1.394,
2013-07,1.464,
2013-10,1.540,
2014-01,1.468,
2014-04,1.481,
2014-07,1.627,
