"",BBSF2.M.1.S.00000.GEM01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEM01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Securities total,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:59,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,47614,
1993-05,48237,
1993-06,49887,
1993-07,51410,
1993-08,53469,
1993-09,53017,
1993-10,56042,
1993-11,56020,
1993-12,59286,
1994-01,60590,
1994-02,60308,
1994-03,61110,
1994-04,64098,
1994-05,63150,
1994-06,62302,
1994-07,64557,
1994-08,65132,
1994-09,61804,
1994-10,63121,
1994-11,63294,
1994-12,63419,
1995-01,64240,
1995-02,65656,
1995-03,64625,
1995-04,66484,
1995-05,67859,
1995-06,67608,
1995-07,70639,
1995-08,72336,
1995-09,73237,
1995-10,73589,
1995-11,75672,
1995-12,77622,
1996-01,82306,
1996-02,83560,
1996-03,85588,
1996-04,89712,
1996-05,90711,
1996-06,92261,
1996-07,91254,
1996-08,94486,
1996-09,97770,
1996-10,98848,
1996-11,104321,
1996-12,104876,
1997-01,110963,
1997-02,118053,
1997-03,119930,
1997-04,123213,
1997-05,125581,
1997-06,135543,
1997-07,146999,
1997-08,142191,
1997-09,148859,
1997-10,143989,
1997-11,148552,
1997-12,155487,
1998-01,164547,
1998-02,174943,
1998-03,185009,
1998-04,186090,
1998-05,194147,
1998-06,201699,
1998-07,207416,
1998-08,194265,
1998-09,188359,
1998-10,192284,
1998-11,206431,
1998-12,208967,
1999-01,218486,
1999-02,217655,
1999-03,222265,
1999-04,233663,
1999-05,229545,
1999-06,238234,
1999-07,235290,
1999-08,242833,
1999-09,236550,
1999-10,245716,
1999-11,259743,
1999-12,279827,
2000-01,276262,
2000-02,287848,
2000-03,295933,
2000-04,295191,
2000-05,291606,
2000-06,290595,
2000-07,297431,
2000-08,306626,
2000-09,303040,
2000-10,308205,
2000-11,297968,
2000-12,297102,
2001-01,303569,
2001-02,290402,
2001-03,286446,
2001-04,294760,
2001-05,294931,
2001-06,289456,
2001-07,286235,
2001-08,275805,
2001-09,255907,
2001-10,267922,
2001-11,274811,
2001-12,277003,
2002-01,277814,
2002-02,278180,
2002-03,281092,
2002-04,277315,
2002-05,273457,
2002-06,260756,
2002-07,252533,
2002-08,252342,
2002-09,238982,
2002-10,244950,
2002-11,247788,
2002-12,243775,
2003-01,244059,
2003-02,241996,
2003-03,242481,
2003-04,252318,
2003-05,258526,
2003-06,264234,
2003-07,267607,
2003-08,271816,
2003-09,271301,
2003-10,276749,
2003-11,274758,
2003-12,281332,
2004-01,288354,
2004-02,293224,
2004-03,293470,
2004-04,292291,
2004-05,290504,
2004-06,295667,
2004-07,293234,
2004-08,294334,
2004-09,297034,
2004-10,299451,
2004-11,300781,
2004-12,300407,
2005-01,304456,
2005-02,305902,
2005-03,305524,
2005-04,305206,
2005-05,310845,
2005-06,316590,
2005-07,319562,
2005-08,320523,
2005-09,323055,
2005-10,318003,
2005-11,320230,
2005-12,322257,
2006-01,317788,
2006-02,321788,
2006-03,320720,
2006-04,318331,
2006-05,310314,
2006-06,308540,
2006-07,313696,
2006-08,314051,
2006-09,319132,
2006-10,321798,
2006-11,320853,
2006-12,322906,
2007-01,323190,
2007-02,324717,
2007-03,325525,
2007-04,330832,
2007-05,335171,
2007-06,332698,
2007-07,330743,
2007-08,327962,
2007-09,326694,
2007-10,328985,
2007-11,321358,
2007-12,317793,
2008-01,304668,
2008-02,305066,
2008-03,296643,
2008-04,302753,
2008-05,301865,
2008-06,291060,
2008-07,280896,
2008-08,285520,
2008-09,273075,
2008-10,251790,
2008-11,247937,
2008-12,243989,
2009-01,244755,
2009-02,239470,
2009-03,242053,
2009-04,245420,
2009-05,207686,
2009-06,210534,
2009-07,212692,
2009-08,215989,
2009-09,205928,
2009-10,208476,
2009-11,210091,
2009-12,211681,
2010-01,216567,
2010-02,217874,
2010-03,222910,
2010-04,217531,
2010-05,213747,
2010-06,215714,
2010-07,220040,
2010-08,225196,
2010-09,224609,
2010-10,229163,
2010-11,226396,
2010-12,238467,
2011-01,239856,
2011-02,244723,
2011-03,243530,
2011-04,245038,
2011-05,246277,
2011-06,245180,
2011-07,246088,
2011-08,237664,
2011-09,233923,
2011-10,236201,
2011-11,230126,
2011-12,233324,
2012-01,233981,
2012-02,242875,
2012-03,245913,
2012-04,247961,
2012-05,246420,
2012-06,246253,
2012-07,252732,
2012-08,255821,
2012-09,258122,
2012-10,260891,
2012-11,267021,
2012-12,273585,
2013-01,275154,
2013-02,281342,
2013-03,287078,
2013-04,293336,
2013-05,295598,
2013-06,290445,
2013-07,297088,
2013-08,296735,
2013-09,301887,
2013-10,306787,
2013-11,307758,
2013-12,306853,
2014-01,309019,
2014-02,313010,
2014-03,314478,
2014-04,317164,
2014-05,324339,
2014-06,327739,
2014-07,332533,
2014-08,354030,
2014-09,355752,
2014-10,357716,
2014-11,363922,
