"",BBK01.OELB21H,BBK01.OELB21H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:27,
2002-01,0.623,
2002-04,0.611,
2002-07,0.596,
2002-10,0.549,
2003-01,0.570,
2003-04,0.584,
2003-07,0.584,
2003-10,0.564,
2004-01,0.571,
2004-04,0.568,
2004-07,0.566,
2004-10,0.526,
2005-01,0.578,
2005-04,0.571,
2005-07,0.579,
2005-10,0.572,
2006-01,0.609,
2006-04,0.615,
2006-07,0.591,
2006-10,0.591,
2007-01,0.620,
2007-04,0.615,
2007-07,0.634,
2007-10,0.636,
2008-01,0.647,
2008-04,0.624,
2008-07,0.622,
2008-10,0.612,
2009-01,0.626,
2009-04,0.671,
2009-07,0.709,
2009-10,0.745,
2010-01,0.783,
2010-04,0.772,
2010-07,0.812,
2010-10,0.845,
2011-01,0.897,
2011-04,0.912,
2011-07,0.975,
2011-10,0.963,
2012-01,1.040,
2012-04,1.025,
2012-07,1.068,
2012-10,1.089,
2013-01,1.081,
2013-04,1.093,
2013-07,1.137,
2013-10,1.157,
2014-01,1.186,
2014-04,1.212,
2014-07,1.210,
