"",BBK01.OEAH24P,BBK01.OEAH24P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:33,
2002-01,1.167,
2002-04,1.177,
2002-07,1.146,
2002-10,0.986,
2003-01,0.996,
2003-04,0.972,
2003-07,0.934,
2003-10,1.098,
2004-01,1.069,
2004-04,1.066,
2004-07,1.054,
2004-10,1.056,
2005-01,1.033,
2005-04,1.009,
2005-07,0.988,
2005-10,0.951,
2006-01,0.924,
2006-04,0.903,
2006-07,0.886,
2006-10,0.836,
2007-01,0.814,
2007-04,0.799,
2007-07,0.776,
2007-10,0.666,
2008-01,0.654,
2008-04,0.651,
2008-07,0.656,
2008-10,0.658,
2009-01,0.655,
2009-04,0.655,
2009-07,0.666,
2009-10,0.627,
2010-01,0.670,
2010-04,0.684,
2010-07,0.644,
2010-10,0.625,
2011-01,0.628,
2011-04,0.645,
2011-07,0.639,
2011-10,0.602,
2012-01,0.589,
2012-04,0.578,
2012-07,0.569,
2012-10,0.546,
2013-01,0.509,
2013-04,0.472,
2013-07,0.462,
2013-10,0.468,
2014-01,0.456,
2014-04,0.428,
2014-07,0.415,
