"",BBK01.OECL04K,BBK01.OECL04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:39,
2002-01,0.550,
2002-04,0.545,
2002-07,0.557,
2002-10,0.653,
2003-01,0.569,
2003-04,0.492,
2003-07,0.450,
2003-10,0.480,
2004-01,0.414,
2004-04,0.388,
2004-07,0.387,
2004-10,0.766,
2005-01,0.810,
2005-04,0.774,
2005-07,0.757,
2005-10,0.814,
2006-01,0.874,
2006-04,0.896,
2006-07,0.952,
2006-10,1.029,
2007-01,1.157,
2007-04,1.218,
2007-07,1.527,
2007-10,1.834,
2008-01,1.981,
2008-04,2.095,
2008-07,2.400,
2008-10,2.206,
2009-01,1.583,
2009-04,1.479,
2009-07,1.241,
2009-10,0.975,
2010-01,0.747,
2010-04,0.640,
2010-07,0.549,
2010-10,0.553,
2011-01,0.538,
2011-04,0.549,
2011-07,0.530,
2011-10,0.652,
2012-01,0.604,
2012-04,0.541,
2012-07,0.468,
2012-10,0.311,
2013-01,0.229,
2013-04,0.276,
2013-07,0.245,
2013-10,0.274,
2014-01,0.222,
2014-04,0.250,
2014-07,0.170,
