"",BBK01.OEAE10Q,BBK01.OEAE10Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:21,
2002-01,3.411,
2002-04,3.446,
2002-07,3.705,
2002-10,4.643,
2003-01,4.362,
2003-04,5.020,
2003-07,4.815,
2003-10,4.149,
2004-01,3.454,
2004-04,2.857,
2004-07,2.919,
2004-10,3.083,
2005-01,3.093,
2005-04,3.157,
2005-07,3.287,
2005-10,3.284,
2006-01,3.067,
2006-04,3.119,
2006-07,3.091,
2006-10,3.140,
2007-01,3.209,
2007-04,3.371,
2007-07,3.123,
2007-10,3.300,
2008-01,3.315,
2008-04,3.430,
2008-07,3.197,
2008-10,2.998,
2009-01,2.730,
2009-04,2.399,
2009-07,2.190,
2009-10,2.117,
2010-01,2.149,
2010-04,2.097,
2010-07,1.792,
2010-10,1.811,
2011-01,1.777,
2011-04,1.768,
2011-07,1.685,
2011-10,1.700,
2012-01,1.733,
2012-04,1.780,
2012-07,1.426,
2012-10,1.478,
2013-01,1.607,
2013-04,1.609,
2013-07,1.579,
2013-10,1.744,
2014-01,1.597,
2014-04,1.630,
2014-07,1.558,
