"",BBK01.OEXO03K,BBK01.OEXO03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:36,
2002-01,0.574,
2002-04,0.489,
2002-07,0.412,
2002-10,0.430,
2003-01,0.531,
2003-04,0.483,
2003-07,0.467,
2003-10,0.489,
2004-01,0.569,
2004-04,0.428,
2004-07,0.426,
2004-10,0.539,
2005-01,0.327,
2005-04,0.303,
2005-07,0.337,
2005-10,0.315,
2006-01,0.402,
2006-04,0.361,
2006-07,0.384,
2006-10,0.439,
2007-01,0.500,
2007-04,0.430,
2007-07,0.437,
2007-10,0.489,
2008-01,0.504,
2008-04,0.504,
2008-07,0.559,
2008-10,0.739,
2009-01,0.616,
2009-04,0.455,
2009-07,0.473,
2009-10,0.663,
2010-01,0.595,
2010-04,0.385,
2010-07,0.393,
2010-10,0.431,
2011-01,0.534,
2011-04,0.515,
2011-07,0.416,
2011-10,0.452,
2012-01,0.453,
2012-04,0.380,
2012-07,0.316,
2012-10,0.358,
2013-01,0.429,
2013-04,0.310,
2013-07,0.274,
2013-10,0.307,
2014-01,0.338,
2014-04,0.253,
2014-07,0.242,
