"",BBFI1.Q.N.DE.W1.S1P.S1.LE.A.FA.O.F89.T._T._X.N,BBFI1.Q.N.DE.W1.S1P.S1.LE.A.FA.O.F89.T._T._X.N_FLAGS
"",IIP - Other Investment - Other accounts receivable/payable - Assets - Positions - Other sectors than MFIs and general government - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:08:28,
1999-10,10576,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,11594,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,11855,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,12555,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,14398,
2004-01,14762,
2004-04,15186,
2004-07,15340,
2004-10,15850,
2005-01,16157,
2005-04,16571,
2005-07,16951,
2005-10,17233,
2006-01,17750,
2006-04,17910,
2006-07,18578,
2006-10,18962,
2007-01,19147,
2007-04,19302,
2007-07,19479,
2007-10,19448,
2008-01,19654,
2008-04,19663,
2008-07,19766,
2008-10,19821,
2009-01,19955,
2009-04,20126,
2009-07,20311,
2009-10,20501,
2010-01,19709,
2010-04,19855,
2010-07,19959,
2010-10,20083,
2011-01,20370,
2011-04,20877,
2011-07,21039,
2011-10,21184,
2012-01,21300,
2012-04,20320,
2012-07,20395,
2012-10,20325,
2013-01,20406,
2013-04,20519,
2013-07,20416,
2013-10,20383,
2014-01,20566,
2014-04,20663,
2014-07,20836,
