"",BBK01.OEBL08L,BBK01.OEBL08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:59,
2002-01,3.273,
2002-04,2.889,
2002-07,3.802,
2002-10,4.747,
2003-01,5.309,
2003-04,5.381,
2003-07,5.579,
2003-10,5.567,
2004-01,5.536,
2004-04,5.509,
2004-07,5.823,
2004-10,5.893,
2005-01,8.869,
2005-04,8.866,
2005-07,8.792,
2005-10,8.819,
2006-01,8.806,
2006-04,8.742,
2006-07,8.761,
2006-10,8.749,
2007-01,8.822,
2007-04,8.491,
2007-07,7.648,
2007-10,7.029,
2008-01,6.570,
2008-04,6.561,
2008-07,6.374,
2008-10,6.250,
2009-01,6.759,
2009-04,7.493,
2009-07,9.121,
2009-10,10.423,
2010-01,11.681,
2010-04,9.021,
2010-07,9.157,
2010-10,9.405,
2011-01,9.553,
2011-04,7.479,
2011-07,7.366,
2011-10,7.385,
2012-01,7.944,
2012-04,7.853,
2012-07,7.783,
2012-10,7.875,
2013-01,7.810,
2013-04,7.851,
2013-07,7.882,
2013-10,8.019,
2014-01,8.023,
2014-04,8.007,
2014-07,8.146,
