"",BBK01.CEFN05,BBK01.CEFN05_FLAGS
"",Transferable deposits                                                     debtor: Total           creditor:  OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:30,
1999-01,0.0,
1999-04,0.2,
1999-07,0.6,
1999-10,1.3,
2000-01,1.3,
2000-04,1.5,
2000-07,1.5,
2000-10,1.6,
2001-01,1.6,
2001-04,1.6,
2001-07,1.6,
2001-10,1.7,
2002-01,1.6,
2002-04,1.5,
2002-07,1.3,
2002-10,1.2,
2003-01,1.4,
2003-04,1.5,
2003-07,1.6,
2003-10,1.8,
2004-01,2.5,
2004-04,3.3,
2004-07,4.1,
2004-10,5.0,
2005-01,5.3,
2005-04,5.7,
2005-07,7.0,
2005-10,6.3,
2006-01,23.7,
2006-04,22.4,
2006-07,21.9,
2006-10,15.3,
2007-01,24.7,
2007-04,23.9,
2007-07,27.6,
2007-10,22.4,
2008-01,36.5,
2008-04,41.3,
2008-07,37.9,
2008-10,29.3,
2009-01,52.9,
2009-04,34.8,
2009-07,31.8,
2009-10,24.8,
2010-01,28.6,
2010-04,43.2,
2010-07,33.3,
2010-10,26.1,
2011-01,36.3,
2011-04,37.2,
2011-07,43.7,
2011-10,35.9,
2012-01,43.6,
2012-04,52.9,
2012-07,51.1,
2012-10,45.3,
2013-01,56.2,
2013-04,62.8,
2013-07,44.5,
2013-10,42.5,
2014-01,46.9,
2014-04,46.7,
2014-07,47.8,
