"",BBK01.XU8885,BBK01.XU8885_FLAGS
"",Germany / Imports / Product Classification for Production Statistics from 2002 / Consumer goods / 1 / 2 /,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:51,
1995-01,6017831,
1995-02,6393104,
1995-03,7148682,
1995-04,5857925,
1995-05,6244392,
1995-06,6447308,
1995-07,6728864,
1995-08,6366344,
1995-09,6975099,
1995-10,7181938,
1995-11,6841732,
1995-12,6941518,
1996-01,7074461,
1996-02,6935139,
1996-03,7025963,
1996-04,6632681,
1996-05,6278030,
1996-06,6633301,
1996-07,7413216,
1996-08,6775954,
1996-09,7178376,
1996-10,7582423,
1996-11,7104693,
1996-12,7263063,
1997-01,7333776,
1997-02,7224086,
1997-03,7092217,
1997-04,7115917,
1997-05,6593228,
1997-06,7334249,
1997-07,7825233,
1997-08,7159600,
1997-09,7838643,
1997-10,8153038,
1997-11,7876071,
1997-12,7381398,
1998-01,8154831,
1998-02,7675204,
1998-03,8207007,
1998-04,8055162,
1998-05,6826534,
1998-06,7841751,
1998-07,8697123,
1998-08,7463694,
1998-09,7879037,
1998-10,8240363,
1998-11,7766952,
1998-12,8382500,
1999-01,7513331,
1999-02,7496723,
1999-03,8577552,
1999-04,7544939,
1999-05,7471302,
1999-06,8130545,
1999-07,8097588,
1999-08,8036240,
1999-09,8236368,
1999-10,8297915,
1999-11,8694906,
1999-12,8650553,
2000-01,8623921,
2000-02,8282704,
2000-03,9399527,
2000-04,7943283,
2000-05,9048659,
2000-06,8634502,
2000-07,8651962,
2000-08,9114946,
2000-09,9310250,
2000-10,10057221,
2000-11,9741328,
2000-12,9359316,
2001-01,9175169,
2001-02,9236000,
2001-03,9389843,
2001-04,9259582,
2001-05,8999980,
2001-06,8926222,
2001-07,9571905,
2001-08,9328567,
2001-09,9100990,
2001-10,10362278,
2001-11,10296225,
2001-12,8554871,
2002-01,9098374,
2002-02,10072199,
2002-03,9346265,
2002-04,10336494,
2002-05,8727693,
2002-06,9734924,
2002-07,9700437,
2002-08,10018756,
2002-09,9980053,
2002-10,11043232,
2002-11,10617145,
2002-12,10049607,
2003-01,10020612,
2003-02,9278822,
2003-03,9916321,
2003-04,9795488,
2003-05,9455835,
2003-06,9617580,
2003-07,9786237,
2003-08,9156313,
2003-09,10267606,
2003-10,10739642,
2003-11,10875351,
2003-12,10048912,
2004-01,9759190,
2004-02,10106760,
2004-03,10354108,
2004-04,10279644,
2004-05,9629004,
2004-06,9914476,
2004-07,10001334,
2004-08,9907972,
2004-09,10716399,
2004-10,11248947,
2004-11,11548001,
2004-12,9915581,
2005-01,10011371,
2005-02,9845832,
2005-03,9914696,
2005-04,10575954,
2005-05,10342262,
2005-06,10290085,
2005-07,10752248,
2005-08,11004433,
2005-09,11571381,
2005-10,11989453,
2005-11,12104756,
2005-12,12145040,
2006-01,11554954,
2006-02,11414646,
2006-03,12460909,
2006-04,11388396,
2006-05,11529670,
2006-06,11296999,
2006-07,11318050,
2006-08,11408537,
2006-09,12468920,
2006-10,13259226,
2006-11,13060018,
2006-12,12259015,
2007-01,12471269,
2007-02,12525062,
2007-03,13124954,
2007-04,12483513,
2007-05,11417682,
2007-06,12252572,
2007-07,12683974,
2007-08,13254237,
2007-09,13160917,
2007-10,14238595,
2007-11,14065915,
2007-12,12427962,
"",General: 1 Consumer durables and non-durables combined. 2 Source: Federal Statistical Office.,
