"",BBK01.OEAD02V,BBK01.OEAD02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:53,
2002-01,0.179,
2002-04,0.162,
2002-07,0.162,
2002-10,0.147,
2003-01,0.176,
2003-04,0.151,
2003-07,0.156,
2003-10,0.171,
2004-01,0.174,
2004-04,0.164,
2004-07,0.158,
2004-10,0.141,
2005-01,0.161,
2005-04,0.157,
2005-07,0.154,
2005-10,0.154,
2006-01,0.152,
2006-04,0.154,
2006-07,0.138,
2006-10,0.139,
2007-01,0.150,
2007-04,0.138,
2007-07,0.118,
2007-10,0.113,
2008-01,0.120,
2008-04,0.124,
2008-07,0.132,
2008-10,0.121,
2009-01,0.117,
2009-04,0.116,
2009-07,0.124,
2009-10,0.111,
2010-01,0.142,
2010-04,0.138,
2010-07,0.132,
2010-10,0.132,
2011-01,0.127,
2011-04,0.126,
2011-07,0.129,
2011-10,0.136,
2012-01,0.132,
2012-04,0.147,
2012-07,0.156,
2012-10,0.145,
2013-01,0.144,
2013-04,0.139,
2013-07,0.162,
2013-10,0.209,
2014-01,0.206,
2014-04,0.217,
2014-07,0.160,
