"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:53:56,
1991-01,-251.566,
1991-02,470.348,
1991-03,501.573,
1991-04,449.213,
1991-05,263.110,
1991-06,478.482,
1991-07,-59.657,
1991-08,404.500,
1991-09,121.503,
1991-10,327.562,
1991-11,1539.548,
1991-12,-238.590,
1992-01,401.424,
1992-02,-282.674,
1992-03,211.112,
1992-04,-225.273,
1992-05,-268.223,
1992-06,-285.065,
1992-07,-19.178,
1992-08,-143.567,
1992-09,-287.325,
1992-10,527.744,
1992-11,109.997,
1992-12,-1423.217,
1993-01,-273.268,
1993-02,812.265,
1993-03,163.285,
1993-04,79.356,
1993-05,95.045,
1993-06,205.058,
1993-07,-261.746,
1993-08,167.533,
1993-09,216.695,
1993-10,225.161,
1993-11,-209.122,
1993-12,-843.785,
1994-01,331.176,
1994-02,143.715,
1994-03,247.300,
1994-04,333.634,
1994-05,507.226,
1994-06,378.208,
1994-07,188.908,
1994-08,243.196,
1994-09,556.604,
1994-10,400.826,
1994-11,577.791,
1994-12,2197.708,
1995-01,1433.734,
1995-02,911.636,
1995-03,-322.825,
1995-04,335.223,
1995-05,-65.160,
1995-06,301.884,
1995-07,1991.765,
1995-08,336.721,
1995-09,1174.885,
1995-10,1395.004,
1995-11,-119.248,
1995-12,1478.543,
1996-01,-1984.092,
1996-02,1989.504,
1996-03,831.388,
1996-04,1449.133,
1996-05,1767.194,
1996-06,-2739.880,
1996-07,-2054.351,
1996-08,-377.448,
1996-09,3859.135,
1996-10,29.872,
1996-11,1974.201,
1996-12,7386.578,
1997-01,1848.714,
1997-02,3933.986,
1997-03,3192.975,
1997-04,2968.977,
1997-05,-4680.057,
1997-06,1351.078,
1997-07,-118.733,
1997-08,-7373.009,
1997-09,8976.182,
1997-10,-5719.552,
1997-11,4134.689,
1997-12,7741.623,
1998-01,-1770.153,
1998-02,8759.844,
1998-03,17434.676,
1998-04,1225.332,
1998-05,8412.114,
1998-06,-768.822,
1998-07,-8505.939,
1998-08,-6910.857,
1998-09,9573.059,
1998-10,-5675.802,
