"",BBK01.OECL08T,BBK01.OECL08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:10,
2002-01,0.567,
2002-04,0.369,
2002-07,0.371,
2002-10,0.405,
2003-01,0.412,
2003-04,0.405,
2003-07,0.427,
2003-10,0.428,
2004-01,0.420,
2004-04,0.416,
2004-07,0.446,
2004-10,0.563,
2005-01,1.317,
2005-04,1.307,
2005-07,1.299,
2005-10,1.308,
2006-01,1.291,
2006-04,1.262,
2006-07,1.234,
2006-10,1.223,
2007-01,1.227,
2007-04,1.214,
2007-07,1.184,
2007-10,1.197,
2008-01,1.180,
2008-04,1.197,
2008-07,1.164,
2008-10,1.143,
2009-01,1.158,
2009-04,1.175,
2009-07,1.202,
2009-10,1.249,
2010-01,1.264,
2010-04,1.256,
2010-07,1.270,
2010-10,1.289,
2011-01,1.285,
2011-04,1.280,
2011-07,1.271,
2011-10,1.286,
2012-01,1.397,
2012-04,1.378,
2012-07,1.383,
2012-10,1.430,
2013-01,1.407,
2013-04,1.393,
2013-07,1.379,
2013-10,1.377,
2014-01,1.365,
2014-04,1.346,
2014-07,1.386,
