"",BBFB1.Q.N.DE.E14000.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:29,
1991-01,243.755,
1991-04,-781.254,
1991-07,-858.206,
1991-10,-8.272,
1992-01,-604.571,
1992-04,-766.579,
1992-07,-1600.112,
1992-10,-1517.013,
1993-01,-1334.366,
1993-04,-1312.256,
1993-07,-2063.201,
1993-10,-496.058,
1994-01,-1912.432,
1994-04,-2127.295,
1994-07,-3763.707,
1994-10,-3037.200,
1995-01,-2151.386,
1995-04,-2467.230,
1995-07,-2675.892,
1995-10,-2128.464,
1996-01,-1585.259,
1996-04,-1961.111,
1996-07,-2688.950,
1996-10,-2889.626,
1997-01,-2043.549,
1997-04,-1052.378,
1997-07,-1806.812,
1997-10,83.339,
1998-01,-534.187,
1998-04,-648.048,
1998-07,-1899.719,
1998-10,-1276.936,
1999-01,-2956.694,
1999-04,-1611.952,
1999-07,-3499.792,
1999-10,-3907.211,
2000-01,-3179.979,
2000-04,-3159.797,
2000-07,-4199.913,
2000-10,-4460.156,
2001-01,-3625.443,
2001-04,-2980.770,
2001-07,-3938.689,
2001-10,-2116.770,
2002-01,-1878.679,
2002-04,-2219.031,
2002-07,-2460.794,
2002-10,-1991.929,
2003-01,-2494.005,
2003-04,-2324.361,
2003-07,-1566.592,
2003-10,-1635.883,
2004-01,942.131,
2004-04,237.461,
2004-07,-1270.942,
2004-10,299.065,
2005-01,386.249,
2005-04,-1279.200,
2005-07,-1198.963,
2005-10,-614.306,
2006-01,-2679.051,
2006-04,-2268.976,
2006-07,-1335.052,
2006-10,4933.668,
2007-01,1648.532,
2007-04,2715.253,
2007-07,2613.716,
2007-10,2572.022,
2008-01,1167.041,
2008-04,422.780,
2008-07,-1388.699,
2008-10,2206.599,
2009-01,238.388,
2009-04,100.824,
2009-07,674.685,
2009-10,2817.529,
2010-01,805.824,
2010-04,83.656,
2010-07,2356.126,
2010-10,4120.043,
2011-01,1506.180,
2011-04,2141.524,
2011-07,1348.475,
2011-10,696.762,
2012-01,525.560,
2012-04,297.837,
2012-07,423.764,
2012-10,1148.368,
2013-01,2709.396,
2013-04,3580.058,
2013-07,-295.502,
2013-10,1466.880,
2014-01,-461.417,Provisional value
2014-04,-364.510,Provisional value
2014-07,-168.525,Provisional value
