"",BBK01.OECJ04M,BBK01.OECJ04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:32,
2002-01,0.775,
2002-04,0.759,
2002-07,0.767,
2002-10,0.856,
2003-01,0.800,
2003-04,0.712,
2003-07,0.554,
2003-10,0.688,
2004-01,0.614,
2004-04,0.551,
2004-07,0.599,
2004-10,0.745,
2005-01,0.677,
2005-04,0.755,
2005-07,0.685,
2005-10,0.857,
2006-01,0.842,
2006-04,0.884,
2006-07,0.926,
2006-10,0.898,
2007-01,0.925,
2007-04,0.899,
2007-07,1.030,
2007-10,1.155,
2008-01,1.086,
2008-04,1.179,
2008-07,1.223,
2008-10,1.390,
2009-01,1.188,
2009-04,1.081,
2009-07,0.983,
2009-10,0.649,
2010-01,0.688,
2010-04,0.731,
2010-07,0.799,
2010-10,0.789,
2011-01,0.940,
2011-04,0.991,
2011-07,1.038,
2011-10,1.338,
2012-01,1.583,
2012-04,1.536,
2012-07,1.454,
2012-10,1.397,
2013-01,1.360,
2013-04,1.286,
2013-07,1.373,
2013-10,1.061,
2014-01,1.194,
2014-04,1.233,
2014-07,1.193,
