"",BBEX3.M.VUV.USD.CA.AB.A01,BBEX3.M.VUV.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Vanuatu / USD 1 = VUV ... (selling),
unit,VUV (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:11,
1990-01,117.96,
1990-02,121.10,
1990-03,122.26,
1990-04,123.50,
1990-05,122.16,
1990-06,121.30,
1990-07,119.94,
1990-08,115.94,
1990-09,115.43,
1990-10,117.96,
1990-11,116.90,
1990-12,112.14,
1991-01,109.92,
1991-02,110.27,
1991-03,113.04,
1991-04,113.04,
1991-05,114.20,
1991-06,114.92,
1991-07,115.18,
1991-08,114.92,
1991-09,113.09,
1991-10,113.44,
1991-11,111.26,
1991-12,112.02,
1992-01,113.45,
1992-02,110.27,
1992-03,112.99,
1992-04,113.53,
1992-05,113.03,
1992-06,112.51,
1992-07,112.62,
1992-08,113.50,
1992-09,113.92,
1992-10,118.59,
1992-11,120.72,
1992-12,120.14,
1993-01,121.25,
1993-02,119.80,
1993-03,121.65,
1993-04,120.23,
1993-05,121.70,
1993-06,123.73,
1993-07,123.29,
1993-08,123.39,
1993-09,125.21,
1993-10,124.11,
1993-11,125.19,
1993-12,123.74,
1994-01,120.59,
1994-02,119.15,
1994-03,120.37,
1994-04,119.04,
1994-05,117.49,
1994-06,117.17,
1994-07,116.09,
1994-08,115.85,
1994-09,115.82,
1994-10,114.99,
1994-11,114.15,
1994-12,113.11,
1995-01,113.85,
1995-02,115.05,
1995-03,114.25,
1995-04,113.19,
1995-05,113.80,
1995-06,114.38,
1995-07,113.46,
1995-08,114.08,
1995-09,113.91,
1995-10,113.55,
1995-11,114.86,
1995-12,114.94,
1996-01,115.75,
1996-02,113.87,
1996-03,112.71,
1996-04,112.28,
1996-05,111.83,
1996-06,112.37,
1996-07,112.16,
1996-08,111.93,
1996-09,112.22,
1996-10,112.08,
1996-11,110.67,
1996-12,111.90,
1997-01,114.83,
1997-02,114.37,
1997-03,113.91,
1997-04,114.39,
1997-05,114.70,
1997-06,115.99,
1997-07,117.78,
1997-08,117.64,
1997-09,119.23,
1997-10,120.00,
1997-11,122.45,
1997-12,125.29,
1998-01,124.12,
1998-02,124.11,
1998-03,125.32,
1998-04,126.77,
1998-05,129.86,
1998-06,131.93,
1998-07,131.04,
1998-08,135.06,
1998-09,132.06,
1998-10,130.50,
1998-11,130.25,
1998-12,130.93,
1999-01,130.27,
1999-02,131.23,
1999-03,131.89,
1999-04,129.45,
1999-05,130.78,
1999-06,131.06,
1999-07,130.59,
1999-08,131.31,
1999-09,129.17,
1999-10,129.67,
1999-11,130.91,
1999-12,130.12,
2000-01,130.82,
2000-02,134.85,
2000-03,134.74,
2000-04,138.12,
2000-05,140.28,
2000-06,136.52,
2000-07,138.80,
2000-08,141.27,
2000-09,142.78,
2000-10,146.37,
2000-11,146.59,
2000-12,144.15,
2001-01,143.56,
2001-02,146.82,
2001-03,151.08,
2001-04,148.25,
2001-05,147.57,
2001-06,148.06,
2001-07,148.40,
2001-08,143.42,
2001-09,150.04,
2001-10,148.14,
2001-11,146.88,
2001-12,148.00,
2002-01,148.50,
2002-02,147.01,
2002-03,144.97,
2002-04,142.34,
2002-05,138.06,
2002-06,136.22,
2002-07,139.24,
2002-08,138.44,
2002-09,139.52,
2002-10,138.09,
2002-11,137.29,
2002-12,135.46,
2003-01,132.05,
2003-02,131.55,
2003-03,132.37,
2003-04,130.52,
2003-05,126.50,
2003-06,125.59,
2003-07,126.96,
2003-08,128.75,
2003-09,124.54,
2003-10,121.94,
2003-11,119.40,
2003-12,117.08,
2004-01,115.25,
2004-02,114.18,
2004-03,116.42,
2004-04,119.33,
2004-05,119.69,
2004-06,121.76,
2004-07,117.25,
2004-08,120.65,
2004-09,118.50,
2004-10,113.75,
2004-11,111.80,
2004-12,111.48,
2005-01,112.50,
2005-02,111.45,
2005-03,113.10,
2005-04,112.07,
2005-05,114.02,
2005-06,112.65,
2005-07,115.37,
2005-08,115.67,
2005-09,115.24,
2005-10,114.97,
2005-11,116.86,
2005-12,117.58,
2006-01,112.65,
2006-02,111.70,
2006-03,113.29,
2006-04,115.92,
