"",BBK01.OEAJ02L,BBK01.OEAJ02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:06,
2002-01,30.778,
2002-04,34.749,
2002-07,37.100,
2002-10,37.095,
2003-01,37.084,
2003-04,42.385,
2003-07,42.228,
2003-10,39.072,
2004-01,44.682,
2004-04,46.697,
2004-07,45.900,
2004-10,39.283,
2005-01,48.906,
2005-04,49.507,
2005-07,53.648,
2005-10,46.134,
2006-01,55.371,
2006-04,57.824,
2006-07,56.300,
2006-10,53.591,
2007-01,57.603,
2007-04,59.257,
2007-07,64.322,
2007-10,54.923,
2008-01,65.356,
2008-04,62.078,
2008-07,61.220,
2008-10,58.764,
2009-01,59.638,
2009-04,68.678,
2009-07,55.374,
2009-10,50.911,
2010-01,52.564,
2010-04,56.628,
2010-07,54.394,
2010-10,54.439,
2011-01,62.695,
2011-04,56.715,
2011-07,61.570,
2011-10,59.955,
2012-01,65.654,
2012-04,62.269,
2012-07,63.116,
2012-10,63.612,
2013-01,68.395,
2013-04,68.445,
2013-07,66.211,
2013-10,65.900,
2014-01,64.189,
2014-04,67.277,
2014-07,74.410,
