"",BBK01.OEHK04H,BBK01.OEHK04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:43,
2002-01,1.798,
2002-04,1.753,
2002-07,1.768,
2002-10,1.771,
2003-01,1.725,
2003-04,1.641,
2003-07,1.565,
2003-10,1.459,
2004-01,1.328,
2004-04,1.227,
2004-07,1.167,
2004-10,1.142,
2005-01,1.114,
2005-04,1.088,
2005-07,1.026,
2005-10,1.072,
2006-01,1.082,
2006-04,1.089,
2006-07,1.190,
2006-10,1.288,
2007-01,1.401,
2007-04,1.394,
2007-07,1.643,
2007-10,1.890,
2008-01,1.977,
2008-04,2.144,
2008-07,2.417,
2008-10,2.871,
2009-01,1.925,
2009-04,1.421,
2009-07,1.084,
2009-10,0.836,
2010-01,0.794,
2010-04,0.735,
2010-07,0.736,
2010-10,0.763,
2011-01,0.746,
2011-04,0.708,
2011-07,0.735,
2011-10,0.826,
2012-01,0.807,
2012-04,0.752,
2012-07,0.685,
2012-10,0.521,
2013-01,0.486,
2013-04,0.398,
2013-07,0.388,
2013-10,0.380,
2014-01,0.361,
2014-04,0.335,
2014-07,0.323,
