"",BBK01.OEAE06N,BBK01.OEAE06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:35,
2002-01,20.405,
2002-04,20.289,
2002-07,20.312,
2002-10,20.225,
2003-01,19.700,
2003-04,19.071,
2003-07,19.233,
2003-10,18.717,
2004-01,18.201,
2004-04,17.828,
2004-07,17.700,
2004-10,17.826,
2005-01,17.932,
2005-04,17.799,
2005-07,17.302,
2005-10,17.406,
2006-01,17.900,
2006-04,17.982,
2006-07,18.123,
2006-10,18.193,
2007-01,18.531,
2007-04,18.538,
2007-07,18.360,
2007-10,18.395,
2008-01,18.764,
2008-04,19.264,
2008-07,19.278,
2008-10,19.563,
2009-01,21.051,
2009-04,20.715,
2009-07,20.535,
2009-10,18.235,
2010-01,20.222,
2010-04,19.530,
2010-07,19.263,
2010-10,19.579,
2011-01,19.680,
2011-04,19.902,
2011-07,20.203,
2011-10,20.061,
2012-01,20.156,
2012-04,19.888,
2012-07,19.710,
2012-10,19.480,
2013-01,19.572,
2013-04,19.758,
2013-07,19.992,
2013-10,19.614,
2014-01,19.473,
2014-04,20.110,
2014-07,19.984,
