"",BBDA1.M.DE.N.IM.S.A.S3.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.S3.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Near and Middle East countries / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:48,
1993-01,273940,
1993-02,261592,
1993-03,256299,
1993-04,264699,
1993-05,265861,
1993-06,278958,
1993-07,273373,
1993-08,279458,
1993-09,323183,
1993-10,290740,
1993-11,292449,
1993-12,258777,
1994-01,232233,
1994-02,207659,
1994-03,257840,
1994-04,272500,
1994-05,269561,
1994-06,270174,
1994-07,273962,
1994-08,294423,
1994-09,274956,
1994-10,258808,
1994-11,257339,
1994-12,274225,
1995-01,201403,
1995-02,238201,
1995-03,260898,
1995-04,235096,
1995-05,254715,
1995-06,262156,
1995-07,272185,
1995-08,213184,
1995-09,240815,
1995-10,226787,
1995-11,213579,
1995-12,215160,
1996-01,227873,
1996-02,204389,
1996-03,242655,
1996-04,217866,
1996-05,256723,
1996-06,246736,
1996-07,268919,
1996-08,276445,
1996-09,258849,
1996-10,309810,
1996-11,264015,
1996-12,225479,
1997-01,243198,
1997-02,253592,
1997-03,214428,
1997-04,259190,
1997-05,284272,
1997-06,297577,
1997-07,274457,
1997-08,286482,
1997-09,301435,
1997-10,298242,
1997-11,260884,
1997-12,259242,
1998-01,261207,
1998-02,214044,
1998-03,252277,
1998-04,299718,
1998-05,279783,
1998-06,274794,
1998-07,275686,
1998-08,221225,
1998-09,276561,
1998-10,271343,
1998-11,232562,
1998-12,262320,
1999-01,257201,
1999-02,232598,
1999-03,224288,
1999-04,279880,
1999-05,287579,
1999-06,327440,
1999-07,369634,
1999-08,324342,
1999-09,384937,
1999-10,372260,
1999-11,424803,
1999-12,391378,
2000-01,360661,
2000-02,376785,
2000-03,461658,
2000-04,416660,
2000-05,536747,
2000-06,513826,
2000-07,561414,
2000-08,545018,
2000-09,563173,
2000-10,558762,
2000-11,574788,
2000-12,524646,
2001-01,511137,
2001-02,412457,
2001-03,422478,
2001-04,424371,
2001-05,372890,
2001-06,522887,
2001-07,516537,
2001-08,531399,
2001-09,480823,
2001-10,463659,
2001-11,425006,
2001-12,350166,
2002-01,407052,
2002-02,362045,
2002-03,374838,
2002-04,392047,
2002-05,315420,
2002-06,427242,
2002-07,481522,
2002-08,370111,
2002-09,465328,
2002-10,379787,
2002-11,380595,
2002-12,339604,
2003-01,476527,
2003-02,320229,
2003-03,342839,
2003-04,505543,
2003-05,312100,
2003-06,406384,
2003-07,366696,
2003-08,282902,
2003-09,340188,
2003-10,410361,
2003-11,359488,
2003-12,345547,
2004-01,300336,
2004-02,302568,
2004-03,346508,
2004-04,298088,
2004-05,412257,
2004-06,385151,
2004-07,378904,
2004-08,356476,
2004-09,372791,
2004-10,423388,
2004-11,439781,
2004-12,381422,
2005-01,375204,
2005-02,304265,
2005-03,359593,
2005-04,357958,
2005-05,394416,
2005-06,373971,
2005-07,473705,
2005-08,445459,
2005-09,527525,
2005-10,527346,
2005-11,443588,
2005-12,494002,
2006-01,504922,
2006-02,464170,
2006-03,401391,
2006-04,431162,
2006-05,494847,
2006-06,659892,
2006-07,607292,
2006-08,493825,
2006-09,616517,
2006-10,566105,
2006-11,585613,
2006-12,469735,
2007-01,477652,
2007-02,465934,
2007-03,475748,
2007-04,514117,
2007-05,491983,
2007-06,502424,
2007-07,558719,
2007-08,591059,
2007-09,416926,
2007-10,593292,
2007-11,669302,
2007-12,686639,
2008-01,642751,
2008-02,516144,
2008-03,602387,
2008-04,670042,
2008-05,602619,
2008-06,739874,
2008-07,878923,
2008-08,727158,
2008-09,730564,
2008-10,742189,
2008-11,603160,
2008-12,487073,
2009-01,441414,
2009-02,367288,
2009-03,327774,
2009-04,417533,
2009-05,454727,
2009-06,360925,
2009-07,470116,
2009-08,555704,
2009-09,572686,
2009-10,412320,
2009-11,487540,
2009-12,637780,
2010-01,443696,
2010-02,461135,
2010-03,391774,
2010-04,414493,
2010-05,598091,
2010-06,543142,
2010-07,751290,
2010-08,703637,
2010-09,575411,
2010-10,581224,
2010-11,802498,
2010-12,611501,
2011-01,601773,
2011-02,655016,
2011-03,660256,
2011-04,752372,
2011-05,780461,
2011-06,748331,
2011-07,805411,
2011-08,919449,
2011-09,715009,
2011-10,909772,
2011-11,761378,
2011-12,564710,
2012-01,649026,
2012-02,655307,
2012-03,773918,
2012-04,565086,
2012-05,614550,
2012-06,599517,
2012-07,613875,
2012-08,916098,
2012-09,628607,
2012-10,681563,
2012-11,590468,
2012-12,846092,
2013-01,662032,
2013-02,758179,
2013-03,628883,
2013-04,612265,
2013-05,723893,
2013-06,643949,
2013-07,1107421,
2013-08,808091,
2013-09,689088,
2013-10,839086,
2013-11,689359,
2013-12,758682,
2014-01,671412,
2014-02,672123,
2014-03,630125,
2014-04,608796,
2014-05,717555,
2014-06,490617,
2014-07,690467,
2014-08,602547,
2014-09,644403,
2014-10,675283,
2014-11,781793,
2014-12,642749,
