"",BBK01.OEXL03L,BBK01.OEXL03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:01,
2002-01,2.136,
2002-04,2.039,
2002-07,2.055,
2002-10,2.220,
2003-01,2.162,
2003-04,2.181,
2003-07,2.155,
2003-10,2.075,
2004-01,1.936,
2004-04,1.971,
2004-07,2.006,
2004-10,2.247,
2005-01,1.936,
2005-04,1.941,
2005-07,1.905,
2005-10,1.932,
2006-01,2.945,
2006-04,3.320,
2006-07,7.287,
2006-10,8.324,
2007-01,10.553,
2007-04,12.130,
2007-07,14.395,
2007-10,16.412,
2008-01,18.540,
2008-04,21.480,
2008-07,23.076,
2008-10,22.965,
2009-01,20.971,
2009-04,22.918,
2009-07,20.767,
2009-10,18.292,
2010-01,19.702,
2010-04,19.287,
2010-07,19.765,
2010-10,20.736,
2011-01,19.794,
2011-04,20.534,
2011-07,21.594,
2011-10,22.801,
2012-01,25.232,
2012-04,28.005,
2012-07,29.472,
2012-10,29.215,
2013-01,29.220,
2013-04,28.423,
2013-07,26.150,
2013-10,25.537,
2014-01,26.392,
2014-04,27.349,
2014-07,27.313,
