"",BBK01.OEBK04U,BBK01.OEBK04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:14,
2002-01,0.124,
2002-04,0.122,
2002-07,0.120,
2002-10,0.122,
2003-01,0.123,
2003-04,0.130,
2003-07,0.126,
2003-10,0.122,
2004-01,0.115,
2004-04,0.112,
2004-07,0.115,
2004-10,0.112,
2005-01,0.118,
2005-04,0.116,
2005-07,0.108,
2005-10,0.114,
2006-01,0.119,
2006-04,0.120,
2006-07,0.121,
2006-10,0.118,
2007-01,0.126,
2007-04,0.133,
2007-07,0.150,
2007-10,0.157,
2008-01,0.170,
2008-04,0.200,
2008-07,0.220,
2008-10,0.222,
2009-01,0.167,
2009-04,0.134,
2009-07,0.098,
2009-10,0.074,
2010-01,0.066,
2010-04,0.056,
2010-07,0.051,
2010-10,0.050,
2011-01,0.050,
2011-04,0.055,
2011-07,0.045,
2011-10,0.058,
2012-01,0.076,
2012-04,0.072,
2012-07,0.066,
2012-10,0.036,
2013-01,0.027,
2013-04,0.024,
2013-07,0.022,
2013-10,0.023,
2014-01,0.022,
2014-04,0.021,
2014-07,0.021,
