"",BBK01.OEAD38O,BBK01.OEAD38O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:54,
2002-01,0.911,
2002-04,0.917,
2002-07,0.899,
2002-10,0.876,
2003-01,0.837,
2003-04,0.824,
2003-07,0.794,
2003-10,0.796,
2004-01,0.778,
2004-04,0.781,
2004-07,0.766,
2004-10,0.733,
2005-01,0.749,
2005-04,0.745,
2005-07,0.711,
2005-10,0.709,
2006-01,0.707,
2006-04,0.706,
2006-07,0.709,
2006-10,0.695,
2007-01,0.710,
2007-04,0.713,
2007-07,0.704,
2007-10,0.731,
2008-01,0.725,
2008-04,0.753,
2008-07,0.646,
2008-10,0.685,
2009-01,0.633,
2009-04,0.638,
2009-07,0.639,
2009-10,0.629,
2010-01,0.626,
2010-04,0.630,
2010-07,0.631,
2010-10,0.634,
2011-01,0.606,
2011-04,0.597,
2011-07,0.608,
2011-10,0.592,
2012-01,0.603,
2012-04,0.583,
2012-07,0.563,
2012-10,0.562,
2013-01,0.555,
2013-04,0.572,
2013-07,0.557,
2013-10,0.561,
2014-01,0.554,
2014-04,0.540,
2014-07,0.536,
