"",BBSF2.M.1.P.00000.TOT01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.TOT01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Public funds / Funds total / Long-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:51,
2009-09,76912,
2009-10,76605,
2009-11,78434,
2009-12,79149,
2010-01,79849,
2010-02,81209,
2010-03,83509,
2010-04,83773,
2010-05,85274,
2010-06,85551,
2010-07,86644,
2010-08,88013,
2010-09,88110,
2010-10,86690,
2010-11,84888,
2010-12,84668,
2011-01,84022,
2011-02,84002,
2011-03,82301,
2011-04,81504,
2011-05,81972,
2011-06,80871,
2011-07,81643,
2011-08,81083,
2011-09,80034,
2011-10,79114,
2011-11,76433,
2011-12,76558,
2012-01,78212,
2012-02,79408,
2012-03,78688,
2012-04,79353,
2012-05,80395,
2012-06,79644,
2012-07,81590,
2012-08,82187,
2012-09,82779,
2012-10,82745,
2012-11,83816,
2012-12,84447,
2013-01,84339,
2013-02,85856,
2013-03,86577,
2013-04,87066,
2013-05,86940,
2013-06,84568,
2013-07,85947,
2013-08,85763,
2013-09,86285,
2013-10,85878,
2013-11,85270,
2013-12,84782,
2014-01,86502,
2014-02,87619,
2014-03,87733,
2014-04,88909,
2014-05,90116,
2014-06,90861,
2014-07,91373,
2014-08,92609,
2014-09,93045,
2014-10,94490,
2014-11,96823,
