"",BBSF2.M.1.S.I1251.GEF01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.GEF01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net asset value / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:38,
2009-09,13291,
2009-10,13189,
2009-11,13474,
2009-12,13382,
2010-01,13252,
2010-02,13423,
2010-03,13593,
2010-04,13880,
2010-05,14102,
2010-06,13677,
2010-07,13869,
2010-08,14568,
2010-09,14733,
2010-10,14872,
2010-11,15006,
2010-12,14732,
2011-01,14253,
2011-02,14327,
2011-03,14456,
2011-04,14557,
2011-05,14625,
2011-06,14634,
2011-07,14692,
2011-08,14749,
2011-09,14860,
2011-10,15333,
2011-11,14796,
2011-12,15058,
2012-01,15381,
2012-02,15526,
2012-03,15545,
2012-04,15572,
2012-05,15668,
2012-06,15694,
2012-07,16234,
2012-08,16354,
2012-09,16365,
2012-10,16740,
2012-11,16701,
2012-12,16926,
2013-01,16737,
2013-02,17037,
2013-03,17155,
2013-04,17526,
2013-05,17564,
2013-06,17545,
2013-07,17742,
2013-08,17572,
2013-09,18114,
2013-10,18362,
2013-11,18178,
2013-12,18217,
2014-01,18455,
2014-02,18799,
2014-03,18975,
2014-04,19300,
2014-05,19598,
2014-06,19795,
2014-07,19902,
2014-08,18639,
2014-09,18672,
2014-10,19124,
2014-11,19456,
